jmdict_seq,kana,kanji,waller_definition,jlpt_level
1254710,けっかく,結核,"tuberculosis, tubercule",N1
1255180,けっかん,血管,blood vessel,N1
1254250,けっこう,決行,"doing (with resolve), carrying out (i.e. a plan)",N1
1254290,けっさん,決算,"balance sheet, settlement of accounts",N1
1254320,けっしょう,決勝,"decision of a contest, finals (in sports)",N1
1254870,けっしょう,結晶,"crystal, crystallization",N1
1254900,けっせい,結成,formation,N1
1254930,けっそく,結束,"union, unity",N1
2836694,けつ,傑,excellence,N1
1254220,けつい,決意,"decision, determination",N1
1254240,けつぎ,決議,"resolution, vote, decision",N1
1254770,けつごう,結合,"combination, union",N1
1254370,けつだん,決断,"decision, determination",N1
1254100,けつぼう,欠乏,"want, shortage, famine",N1
1333440,けとばす,蹴飛ばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",N1
1573120,けなす,貶す,to speak ill of,N1
1177200,けむたい,煙たい,"smoky, feeling awkward",N1
1177220,けむる,煙る,to smoke (e.g. fire),N1
1192530,けらい,家来,"retainer, retinue, servant",N1
1257080,けん,圏,"sphere, circle, range",N1
1258080,けん,権,"authority, the right (to do something)",N1
1258090,けんい,権威,"authority, power, influence",N1
1578300,けんぎょう,兼業,"side line, second business",N1
1258130,けんげん,権限,"power, authority, jurisdiction",N1
1256300,けんざい,健在,"in good health, well",N1
1257690,けんしょう,懸賞,"offering prizes, winning, reward",N1
1257930,けんじ,検事,public prosecutor,N1
1256360,けんぜん,健全,"health, soundness, wholesome",N1
1259870,けんち,見地,point of view,N1
1260320,けんめい,賢明,"wisdom, intelligence, prudence",N1
1256010,けんやく,倹約,"thrift, economy, frugality",N1
1256720,けんよう,兼用,"multi-use, combined use, combination, serving two purposes",N1
1258220,けんりょく,権力,"power, authority, influence",N1
1253450,げきだん,劇団,"troupe, theatrical company",N1
1253760,げきれい,激励,encouragement,N1
1255690,げっしゃ,月謝,monthly tuition fee,N1
1004250,げっそり,,"being disheartened, losing weight",N1
1255800,げっぷ,月賦,monthly installment,N1
1186540,げり,下痢,diarrhoea,N1
1261130,げん,原,"original, primitive, primary, fundamental, raw",N1
1261310,げんけい,原形,"original form, base form",N1
1263630,げんこう,現行,"present, current, in operation",N1
1261450,げんさく,原作,original work,N1
1261570,げんし,原子,atom,N1
1260870,げんしゅ,元首,"ruler, sovereign",N1
1261850,げんしょ,原書,original document,N1
1263210,げんしょう,減少,"decrease, reduction, decline",N1
1263760,げんじょう,現場,"actual spot, scene, scene of the crime",N1
1592840,げんそ,元素,chemical element,N1
1262070,げんそく,原則,"principle, general rule",N1
1263800,げんぞう,現像,developing (film),N1
1263860,げんち,現地,"actual place, local",N1
1264670,げんてい,限定,"limit, restriction",N1
1262160,げんてん,原点,"origin (coordinates), starting point",N1
1262150,げんてん,原典,original (text),N1
1263290,げんてん,減点,"subtract, give a demerit",N1
1262220,げんばく,原爆,atomic bomb,N1
1262340,げんぶん,原文,"the text, original",N1
1262830,げんみつ,厳密,"strict, close",N1
1262430,げんゆ,原油,crude oil,N1
1264580,げんろん,言論,discussion,N1
1267110,こ,故,the late (deceased),N1
1659920,こ,戸,counter for houses,N1
1307770,こ,児,"child, the young of animals",N1
,きょ,巨,"big, large, great",N1
1609750,こいする,恋する,"to fall in love with, to love",N1
1280050,こう,溝,"10^38, hundred undecillion (American), hundred sextillion (British)",N1
2259610,こう,校,"-school, proof",N1
1277530,こうい,好意,"good will, favor, courtesy",N1
1281830,こうい,行為,"act, deed, conduct",N1
1281840,こういん,行員,bank clerk,N1
1271710,こうえき,交易,"trade, commerce",N1
1273280,こうえん,公演,public performance,N1
1269510,こうかい,後悔,"regret, repentance",N1
1273370,こうかい,公開,presenting to the public,N1
1281250,こうかい,航海,"sail, voyage",N1
1278010,こうがく,工学,engineering,N1
1280380,こうきょ,皇居,Imperial Palace,N1
1277620,こうきょう,好況,"prosperous conditions, healthy economy",N1
1278860,こうぎ,抗議,"protest, objection",N1
1282560,こうぎょう,鉱業,mining industry,N1
1238240,こうぎょう,興業,industrial enterprise,N1
1283490,こうげん,高原,"tableland, plateau",N1
1569020,こうこう,煌々,"brilliantly, brightly",N1
1281120,こうこがく,考古学,archaeology,N1
1271940,こうご,交互,"mutual, reciprocal, alternate",N1
1278100,こうさく,工作,"work, construction, handicraft, maneuvering",N1
1280970,こうさく,耕作,"cultivation, farming",N1
1282570,こうざん,鉱山,mine (ore),N1
1282290,こうしゅう,講習,"short course, training",N1
1272110,こうしょう,交渉,"negotiations, discussions, connection",N1
1283610,こうしょう,高尚,"high, noble, refined, advanced",N1
1281980,こうしん,行進,"march, parade",N1
1283050,こうしんりょう,香辛料,spices,N1
1276310,こうじゅつ,口述,verbal statement,N1
1279080,こうじょ,控除,"subsidy, deduction",N1
1277250,こうじょう,向上,"elevation, rise, improvement, advancement, progress",N1
1282890,こうすい,降水,"rainfall, precipitation",N1
1279930,こうずい,洪水,flood,N1
1274190,こうぜん,公然,"open (e.g. secret), public, official",N1
1278950,こうそう,抗争,"dispute, resistance",N1
1279780,こうそう,構想,"plan, plot, idea, conception",N1
1279000,こうそく,拘束,"restriction, restraint",N1
1269880,こうたい,後退,"retreat, backspace (BS)",N1
1273050,こうたく,光沢,"brilliance, polish, lustre, glossy finish (of photographs)",N1
1274280,こうだん,公団,public corporation,N1
1277730,こうちょう,好調,"favourable, promising, satisfactory, in good shape",N1
1276710,こうとう,口頭,oral,N1
1282350,こうどく,講読,"reading, translation",N1
1282420,こうどく,購読,subscription (e.g. magazine),N1
1282440,こうにゅう,購入,"purchase, buy",N1
1274450,こうにん,公認,"official recognition, authorization, licence, accreditation",N1
1273110,こうねつひ,光熱費,cost of fuel and light,N1
1281620,こうはい,荒廃,ruin,N1
1282470,こうばい,購買,"purchase, buy",N1
1277780,こうひょう,好評,"popularity, favorable reputation",N1
1272520,こうふ,交付,"delivering, furnishing (with copies)",N1
1282940,こうふく,降伏,"capitulation, surrender, submission",N1
1238380,こうふん,興奮,"excitement, stimulation, agitation, arousal",N1
1274680,こうぼ,公募,"public appeal, public contribution",N1
1278340,こうみょう,巧妙,"ingenious, skillful, clever, deft",N1
1274940,こうよう,公用,"government business, public use, public expense",N1
1593050,こうり,小売,retail,N1
1275210,こうりつ,効率,efficiency,N1
1275000,こうりつ,公立,public (institution),N1
1348770,こがら,小柄,short (build),N1
1348410,こぎって,小切手,"cheque, check",N1
1286590,こくさん,国産,domestic products,N1
1286860,こくてい,国定,"state-sponsored, national",N1
1286890,こくど,国土,realm,N1
1286060,こくはく,告白,"confession, acknowledgement",N1
1287030,こくぼう,国防,national defence,N1
1287170,こくゆう,国有,national ownership,N1
1287210,こくれん,国連,"U.N., United Nations",N1
1400530,こぐ,漕ぐ,"to row, to scull, to pedal",N1
1350750,こげちゃ,焦げ茶,black tea,N1
1593190,ここ,個々,"individual, one by one",N1
1593190,ここ,箇箇,"individual, separate",N1
1360820,ここち,心地,"feeling, sensation, mood",N1
1360910,こころえ,心得,"knowledge, information",N1
1360500,こころがけ,心掛け,"readiness, intention, aim",N1
1360610,こころがける,心掛ける,"to bear in mind, to aim to do",N1
1309050,こころざし,志,"will, intention, motive",N1
1309060,こころざす,志す,"to plan, to intend, to aspire to, to set aims (sights on)",N1
1360640,こころづよい,心強い,"heartening, reassuring",N1
1360680,こころぼそい,心細い,"helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening",N1
1312270,こころみ,試み,"trial, experiment",N1
1312280,こころみる,試みる,"to try, to test",N1
1199970,こころよい,快い,"pleasant, agreeable",N1
1239000,こごらす,凝らす,"to freeze, to congeal",N1
1239060,こごる,凝る,"to congeal, to freeze",N1
1567390,こしらえる,拵える,"to make, to manufacture",N1
1266810,こじ,孤児,orphan,N1
1567270,こじれる,拗れる,"to get complicated, to grow worse",N1
1267190,こじん,故人,"the deceased, old friend",N1
1349980,こずえ,梢,treetop,N1
1264960,こせい,個性,"individuality, personality, idiosyncrasy",N1
1267030,こせき,戸籍,"census, family register",N1
1348470,こぜに,小銭,"coins, small change",N1
1266640,こたい,固体,solid (body),N1
1449530,こたえ,答え,"answer, response",N1
2827352,こたえる,堪える,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",N1
1194360,こたつ,火燵,"table with heater, (orig) charcoal brazier in a floor well",N1
1265760,こだい,古代,ancient times,N1
1004480,こだわる,拘る,"to fuss over, to be particular about, to be concerned about",N1
1267820,こちょう,誇張,exaggeration,N1
1208660,こっけい,滑稽,"funny, humorous, comical, laughable, ridiculous, joking",N1
1286380,こっこう,国交,diplomatic relations,N1
1288710,こっとうひん,骨董品,curio,N1
1288540,こつ,骨,"knack, skill",N1
1266650,こてい,固定,fixation,N1
1314240,ことがら,事柄,"matter, thing, affair, circumstance",N1
1004570,ことごとく,悉く,"altogether, entirely",N1
1264510,ことづて,言伝,"declaration, hearsay",N1
1328650,ことに,殊に,"especially, above all",N1
2773660,ことによると,事によると,depending on the circumstances,N1
1266850,こどく,孤独,"isolation, loneliness, solitude",N1
1593360,こなごな,粉々,in very small pieces,N1
1004690,このあいだ,この間,"the other day, lately, recently",N1
1004710,このごろ,この頃,recently,N1
1277490,このましい,好ましい,"nice, likeable, desirable",N1
1265000,こべつ,個別,particular case,N1
1557640,こぼす,零す,to spill,N1
1295550,こまやか,細やか,friendly,N1
2849867,こむ,混む,to be crowded,N1
1288790,こめる,込める,"to include, to put into",N1
1593430,こもる,篭る,"to seclude oneself, to be confined in, to be implied, to be stuffy",N1
1266730,こゆう,固有,"characteristic, tradition, peculiar, inherent, eigen-",N1
1267860,こよう,雇用,"employment (long term), hire",N1
1557950,こよみ,暦,"calendar, almanac",N1
2827352,こらえる,堪える,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",N1
1266860,こりつ,孤立,"isolation, helplessness",N1
1428190,こりる,懲りる,"to learn by experience, to be disgusted with",N1
1628530,これ,此れ,this,N1
1004830,これら,此れ等,these,N1
2177300,こん,魂,"soul, spirit",N1
1290110,こんき,根気,"patience, perseverance, energy",N1
1290120,こんきょ,根拠,"basis, foundation",N1
1290330,こんけつ,混血,"mixed race, mixed parentage",N1
1289980,こんちゅう,昆虫,"insect, bug",N1
1290260,こんてい,根底,"root, basis, foundation",N1
1290480,こんどう,混同,"confusion, mixing, merger",N1
1289400,こんにちは,今日は,"hello, good day (daytime greeting id)",N1
1289480,こんばんは,今晩は,good evening,N1
2848289,こんぽん,根本,"origin, source, foundation, root, base, principle",N1
1270190,ご,御,"go-, honourable",N1
1271260,ごい,語彙,"vocabulary, glossary",N1
1956270,ごう,濠,moat,N1
1239320,ごう,業,"Buddhist karma, actions committed in a former life",N1
1284220,ごう,号,"number, issue",N1
1284550,ごうい,合意,"agreement, consent, mutual understanding",N1
1284700,ごうぎ,合議,"consultation, conference",N1
1799670,ごうぎ,強気,"great, grand",N1
1284940,ごうせい,合成,"synthesis, composition, synthetic, composite, mixed, combined, compound",N1
1271510,ごえい,護衛,"guard, convoy, escort",N1
1271060,ごく,語句,"words, phrases",N1
1240250,ごくらく,極楽,paradise,N1
1005030,ごくろうさま,ご苦労様,Thank you very much for your....,N1
1271090,ごげん,語源,"word root, word derivation, etymology",N1
1271320,ごさ,誤差,error,N1
1612690,ございます,ご座います,"to be (polite), to exist",N1
1593590,ごちそう,ご馳走,"feast, treating (someone)",N1
1270520,ごちそうさま,ご馳走さま,feast,N1
1524640,ごと,毎,each respectively,N1
1270890,ごばん,碁盤,Go board,N1
1270650,ごぶさた,ご無沙汰,not writing or contacting for a while,N1
1271480,ごまかす,誤魔化す,"to deceive, to falsify, to misrepresent",N1
1270690,ごめんください,御免ください,May I come in?,N1
1270680,ごめんなさい,御免なさい,"I beg your pardon, excuse me",N1
1270770,ごらんなさい,御覧なさい,"(please) look, (please) try to do",N1
,さ,佐,help,N1
1292290,さい,再,"re-, again, repeated",N1
1291340,さい,差異,"difference, disparity",N1
1294940,さい,歳,#NAME?,N1
1292390,さいかい,再会,"another meeting, meeting again, reunion",N1
1295100,さいがい,災害,"calamity, disaster, misfortune",N1
1295590,さいきん,細菌,"bacillus, bacterium, germ",N1
1295610,さいく,細工,"work, craftsmanship, tactics, trick",N1
1294750,さいくつ,採掘,mining,N1
1294760,さいけつ,採決,"vote, roll call",N1
1292590,さいけん,再建,"rebuilding, reconstruction, rehabilitation",N1
1292640,さいげん,再現,"reappearance, reproduction, return, revival",N1
1294780,さいさん,採算,profit,N1
1294810,さいしゅう,採集,"collecting, gathering",N1
1292960,さいせい,再生,"playback, regeneration, resuscitation, return to life, rebirth, reincarnation, narrow escape, reclamation, r",N1
1294160,さいぜん,最善,the very best,N1
1294830,さいたく,採択,"adoption, selection, choice",N1
1293410,さいはつ,再発,"return, relapse, reoccurrence",N1
1294910,さいばい,栽培,cultivation,N1
1295740,さいぼう,細胞,cell (biology),N1
1294890,さいよう,採用,"use, adopt",N1
1323290,さえぎる,遮る,"to interrupt, to intercept, to obstruct",N1
1565710,さえずる,囀る,"to sing, to chirp, to twitter",N1
1297050,さえる,冴える,"to be clear, to be serene, to be cold, to be skillful",N1
1214060,さお,竿,"rod, pole (e.g. for drying laundry)",N1
1173860,さかえる,栄える,"to prosper, to flourish",N1
1472630,さかずき,杯,wine cups,N1
1227250,さかだち,逆立ち,"handstand, headstand",N1
1397830,さかのぼる,逆上る,"to go back, to go upstream, to make retroactive",N1
1379730,さかる,盛る,"to prosper, to flourish, to copulate (animals)",N1
1291370,さがく,差額,"balance, difference, margin",N1
1184160,さがる,下がる,"to hang down, to abate, to retire, to fall, to step back",N1
1576030,さきおととい,一昨昨日,two days before yesterday,N1
1387280,さきに,先に,"before, earlier than, ahead, beyond, away, previously, recently",N1
1291690,さぎ,詐欺,"fraud, swindle",N1
1297240,さく,作,"a work, a harvest",N1
1298260,さく,策,"plan, policy",N1
1298250,さく,柵,"fence, paling",N1
1298110,さくげん,削減,"cut, reduction, curtailment",N1
1298420,さくご,錯誤,mistake,N1
1297800,さくせん,作戦,"military or naval operations, tactics, strategy",N1
1297940,さくぶつ,作物,literary work,N1
1235890,さけび,叫び,"shout, scream, outcry",N1
1558610,さける,裂ける,"to split, to tear, to burst",N1
1516430,ささげる,捧げる,"to lift up, to give, to offer, to consecrate, to devote, to sacrifice, to dedicate",N1
1291140,さしかかる,差し掛かる,"to come near to, to approach",N1
1309850,さしず,指図,"instruction, mandate",N1
1291230,さしだす,差し出す,"to present, to submit, to tender, to hold out",N1
1291180,さしつかえる,差し支える,"to interfere, to hinder, to become impeded",N1
1291100,さしひく,差し引く,to deduct,N1
1593790,さじ,些事,"something small or petty, trifle",N1
1330280,さずける,授ける,"to grant, to award, to teach",N1
1565620,さぞ,嘸,"I am sure, certainly, no doubt",N1
1435370,さだまる,定まる,"to become settled, to be fixed",N1
1435380,さだめる,定める,"to decide, to establish, to determine",N1
1298400,さっかく,錯覚,"optical illusion, hallucination",N1
1581270,さっきゅう,早急,urgent,N1
1298740,さっする,察する,"to guess, to sense, to presume, to judge, to sympathize with",N1
1005200,さっと,颯っと,"quickly, suddenly",N1
1298520,さつ,冊,counter for books,N1
1299100,さつじん,殺人,murder,N1
1585460,さて,偖,"well, now, then",N1
1270850,さとる,悟る,"to attain enlightenment, to perceive, to understand, to discern",N1
1363780,しんじつ,真実,"truth, reality",N1
1295940,さばく,裁く,to judge,N1
1593820,さび,錆び,rust (colour),N1
1394760,さほど,左程,"(not) very, (not) much",N1
1545790,さま,様,"Mr. or Mrs., manner, kind, appearance",N1
1579450,さみせん,三味線,"three-stringed Japanese guitar, shamisen",N1
1314780,さむらい,侍,"Samurai, warrior",N1
1394700,さも,然も,"with gusto, with satisfaction",N1
1298000,さよう,作用,"action, operation, effect, function",N1
1291050,さようなら,左様なら,good-bye,N1
1593870,さらう,拐う,"to carry off, to run away with, to kidnap, to abduct",N1
1399520,さわやか,爽やか,"fresh, refreshing, invigorating, clear, fluent, eloquent",N1
1352050,さわる,障る,"to hinder, to interfere with, to affect, to do one harm, to be harmful to",N1
1304260,さん,酸,acid,N1
1005340,さん,,Mr or Mrs,N1
1304290,さんか,酸化,oxidation,N1
1302780,さんがく,山岳,mountains,N1
1303760,さんきゅう,産休,maternity leave,N1
1303650,さんきょう,桟橋,"wharf, bridge, jetty, pier",N1
1302210,さんぎいん,参議院,House of Councillors,N1
1303790,さんご,産後,"postpartum, after childbirth",N1
1303810,さんしゅつ,産出,"yield, produce",N1
1302410,さんしょう,参照,"reference, consultation, consultation",N1
1302440,さんじょう,参上,"calling on, visiting",N1
1304240,さんび,賛美,"praise, adoration, glorification",N1
1303850,さんふじんか,産婦人科,maternity and gynecology department,N1
1303870,さんぶつ,産物,"product, result, fruit",N1
1303150,さんぷく,山腹,"hillside, mountainside",N1
1303190,さんみゃく,山脈,mountain range,N1
1296770,ざい,財,"fortune, riches",N1
1296810,ざいげん,財源,"source of funds, resources, finances",N1
1296470,ざいこ,在庫,"stockpile, stock",N1
1296830,ざいせい,財政,"economy, financial affairs",N1
1291920,ざだんかい,座談会,"symposium, round-table discussion",N1
1299290,ざっか,雑貨,"miscellaneous goods, general goods, sundries",N1
1299240,ざつ,雑,"rough, crude",N1
1299480,ざつだん,雑談,"chatting, idle talk",N1
1299560,ざつぼく,雑木,"various kinds of small trees, assorted trees",N1
1638190,ざひょう,座標,coordinate(s),N1
1304570,ざんきん,残金,remaining money,N1
1304600,ざんこく,残酷,"cruelty, harshness",N1
1304590,ざんだか,残高,"(bank) balance, remainder",N1
1310720,し,死,"death, decease",N1
2542020,し,秭,"10^24 (kanji is JIS X 0212 kuten 4906), septillion (American), quadrillion (British)",N1
1579580,じ,次,"order, sequence, times, next, below",N1
1305120,しあがり,仕上がり,"finish, end, completion",N1
1594040,しあげ,仕上げ,"end, finishing touches, being finished",N1
1305140,しあげる,仕上げる,"to finish up, to complete",N1
1594050,しあさって,明々後日,two days after tomorrow,N1
1312980,しいく,飼育,"breeding, raising, rearing",N1
1236080,しいて,強いて,by force,N1
1236100,しいる,強いる,"to force, to compel, to coerce",N1
1305310,しいれる,仕入れる,"to lay in stock, to replenish stock, to procure",N1
1631970,しーん,,"silent (as the grave), (deathly) quiet",N1
1313110,しか,歯科,dentistry,N1
1312690,しかく,資格,"qualifications, requirements, capabilities",N1
1312010,しかく,視覚,"sense of sight, vision",N1
1594100,しかけ,仕掛け,"device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge",N1
1304820,しかける,仕掛ける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge",N1
1506000,しかしながら,然しながら,"nevertheless, however",N1
1506050,しかも,而も,"moreover, furthermore, nevertheless, and yet",N1
1308190,しがい,市街,"urban areas, the streets, town, city",N1
1309700,しき,指揮,"command, direction",N1
1357720,しきさい,色彩,"colour, hue, tints",N1
1319090,しきじょう,式場,"ceremonial hall, place of ceremony (e.g. marriage)",N1
1594160,しきたり,為来り,customs,N1
1005480,しきりに,頻りに,"frequently, repeatedly, incessantly, eagerly",N1
1305180,しきる,仕切る,"to partition, to divide, to mark off, to settle accounts, to toe the mark",N1
1312700,しきん,資金,"funds, capital",N1
1579510,しぎょう,施行,"1. execution, enforcing, carrying out",N1
1005500,しくじる,,"to fail, to fall through, to blunder",N1
1594180,しくみ,仕組み,"devising, plan, plot, contrivance, construction, arrangement",N1
1310810,しけい,死刑,"death penalty, capital punishment",N1
1320420,しける,湿気る,"to be damp, to be moist",N1
1309530,しこう,思考,thought,N1
1309110,しこう,志向,"intention, aim",N1
1565500,しこう,嗜好,"taste, liking, preference",N1
1312040,しさつ,視察,"inspection, observation",N1
1312750,しさん,資産,"property, fortune, means, assets",N1
1306540,ししゅう,刺繍,embroidery,N1
1310150,しじ,支持,"support, maintenance",N1
1309800,しじ,指示,"indication, instruction, directions",N1
1437210,しずく,雫,drop (of water),N1
1431680,しずめる,沈める,"to sink, to submerge",N1
1310410,しせつ,施設,"institution, establishment, facility, (army) engineer",N1
1307980,しそく,子息,son,N1
1514910,したう,慕う,"to yearn for, to miss, to adore, to love dearly",N1
1185450,したごころ,下心,"secret intention, motive",N1
1365070,したしむ,親しむ,"to be intimate with, to befriend",N1
1185970,したしらべ,下調べ,"preliminary investigation, preparation",N1
1185920,したじ,下地,"groundwork, foundation, inclination, aptitude, elementary knowledge of, grounding in, prearrangement, spade",N1
1467520,したためる,認める,to write up,N1
1305560,したてる,仕立てる,"to tailor, to make, to prepare, to train, to send (a messenger)",N1
1185180,したどり,下取り,"trade in, part exchange",N1
1184580,したび,下火,"burning low, waning, declining",N1
1319820,しっかく,失格,"disqualification, elimination, incapacity (legal)",N1
1594400,しっかり,確り,"firmly, tightly, reliable, level-headed, steady",N1
1320710,しっそ,質素,"simplicity, modesty, frugality",N1
1320080,しっちょう,失調,lack of harmony,N1
1320280,しっと,嫉妬,jealousy,N1
1358800,しっぽ,尻尾,tail (animal),N1
1320300,しつ,室,room,N1
1320680,しつぎ,質疑,question,N1
1573410,しつけ,躾,"home discipline, training, upbringing, breeding",N1
1305350,しつける,仕付ける,"to be used to a job, to begin to do, to baste, to tack, to plant",N1
1309940,してき,指摘,"pointing out, identification",N1
1312130,してん,視点,"opinion, point of view, visual point",N1
1158680,しなびる,萎びる,"to wilt, to fade",N1
1566110,しなやか,,"supple, flexible, elastic",N1
1566370,しにょう,屎尿,"excreta, raw sewage, human waste, night soil",N1
1554200,しのぐ,凌ぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy, t",N1
1307610,しはつ,始発,first train,N1
1321610,しば,芝,"lawn, sod, turf",N1
1005580,しばしば,屡,"often, again and again, frequently",N1
1304420,しばらく,暫く,little while,N1
1569620,しびれる,痺れる,"to become numb, to go to sleep (i.e. a limb)",N1
1335540,しぶい,渋い,"1. tasteful (clothing), cool, an aura of refined masculinity, 2. astringent, sullen, bitter (taste), 3",N1
1311380,しぶつ,私物,"private property, personal effects",N1
1005590,しぶとい,,"tenacious, stubborn",N1
1306680,しほう,司法,administration of justice,N1
1311820,しぼう,脂肪,"fat, grease, blubber",N1
1309140,しぼう,志望,"wish, desire, ambition",N1
1427460,しぼむ,萎む,"to wither, to fade (away), to shrivel, to wilt",N1
1594530,しまい,仕舞,"end, termination, informal (Noh play)",N1
1307620,しまつ,始末,"management, dealing, settlement, cleaning up afterwards",N1
1005610,しみじみ,,"keenly, deeply, heartily",N1
1391120,しみる,染みる,"to pierce, to permeate",N1
1306160,しめい,使命,"mission, errand, message",N1
1594590,しめきり,締め切り,"closing, cut-off, end, deadline, Closed, No Entrance",N1
1521390,しもべ,僕,"manservant, servant (of God)",N1
1322860,しゃこう,社交,"social life, social intercourse",N1
1323050,しゃぜつ,謝絶,refusal,N1
1322900,しゃたく,社宅,company owned house,N1
1005650,しゃっくり,吃逆,"hiccough, hiccup",N1
1427510,しゃべる,喋る,"to talk, to chat, to chatter",N1
1322470,しゃめん,斜面,"slope, slanting surface, bevel",N1
1568630,しゃらく,洒落,"frank, open-hearted",N1
1568670,しゃれる,洒落る,"to joke, to play on words, to dress stylishly",N1
1312140,しや,視野,"field of vision, outlook",N1
1328810,しゅ,種,"kind, variety, species",N1
1333240,しゅう,衆,"masses, great number, the people",N1
1331020,しゅう,周,"circuit, lap, circumference, vicinity, Chou (dynasty)",N1
1330500,しゅうえき,収益,"earnings, proceeds, returns",N1
1331950,しゅうがく,修学,learning,N1
1331090,しゅうき,周期,"cycle, period",N1
1333260,しゅうぎいん,衆議院,"Lower House, House of Representatives",N1
1331590,しゅうぎょう,就業,"employment, starting work",N1
2650010,しゅぎょう,修行,"pursuit of knowledge, studying, learning, training, ascetic practice, discipline",N1
1333640,しゅうけい,集計,"totalization, aggregate",N1
1333340,しゅうげき,襲撃,"attack, charge, raid",N1
1330640,しゅうし,収支,income and expenditure,N1
1332820,しゅうし,終始,"beginning and end, from beginning to end, doing a thing from beginning to end",N1
1332020,しゅうし,修士,Masters degree program,N1
1594720,しゅうしゅう,収集,"gathering up, collection, accumulation",N1
1332070,しゅうしょく,修飾,"ornamentation, embellishment, decoration, adornment, polish up (writing), modification (gram)",N1
1332980,しゅうじつ,終日,all day,N1
1594740,しゅうじゃく,執着,"attachment, adhesion, tenacity",N1
1330880,しゅうよう,収容,"accommodation, reception, seating, housing, custody, admission, entering (in a dictionary)",N1
1332450,しゅうりょう,修了,completion (of a course),N1
1327130,しゅえい,守衛,"security guard, doorkeeper",N1
1325050,しゅえん,主演,"starring, playing the leading part",N1
1325180,しゅかん,主観,"subjectivity, subject, ego",N1
1337410,しゅくが,祝賀,"celebration, congratulations",N1
1337330,しゅくめい,宿命,"fate, destiny, predestination",N1
1325360,しゅけん,主権,"sovereignty, supremacy, dominion",N1
1327540,しゅげい,手芸,handicrafts,N1
1325450,しゅさい,主催,"organization, sponsorship",N1
1327020,しゅざい,取材,"choice of subject, collecting data",N1
1328990,しゅし,趣旨,"object, meaning",N1
1325640,しゅしょく,主食,staple food,N1
1325680,しゅじんこう,主人公,"protagonist, main character, hero(ine) (of a story), head of household",N1
1325840,しゅたい,主体,"subject, main constituent",N1
1325870,しゅだい,主題,"subject, theme, motif",N1
1338750,しゅっけつ,出血,"bleeding, haemorrhage",N1
1339010,しゅっさん,出産,"(child)birth, delivery, production (of goods)",N1
1339150,しゅっしゃ,出社,arrival (in a country at work etc.),N1
1580050,しゅっしょう,出生,birth,N1
1339340,しゅっせ,出世,"promotion, successful career, eminence",N1
1340180,しゅっぴ,出費,"expenses, disbursements",N1
1340190,しゅっぴん,出品,"exhibit, display",N1
1338290,しゅつえん,出演,"performance, stage appearance",N1
1339620,しゅつだい,出題,proposing a question,N1
1339880,しゅつどう,出動,"sailing, marching, going out",N1
1325980,しゅどう,主導,main leadership,N1
1326040,しゅにん,主任,"person in charge, responsible official",N1
1329360,しゅのう,首脳,"head, brains",N1
1327180,しゅび,守備,defense,N1
1328380,しゅほう,手法,technique,N1
1311390,しゆう,私有,private ownership,N1
1344210,しょ,諸,"various, many, several",N1
1472860,しょう,背負う,"to be burdened with, to carry on back or shoulder",N1
1351820,しょう,象,phenomenon,N1
1351000,しょう,症,illness,N1
,しょう,傷,"wound, injury, hurt, cut, gash, bruise, scratch, scar, weak point",N1
1346570,しょう,商,quotient,N1
1350190,しょうきょ,消去,"elimination, erasing, dying out, melting away",N1
1351510,しょうげき,衝撃,"shock, crash, impact, ballistic",N1
1351640,しょうげん,証言,"evidence, testimony",N1
1351600,しょうこ,証拠,"evidence, proof",N1
1580310,しょうこう,消耗,"exhaustion, consumption",N1
1350920,しょうごう,照合,"collation, comparison",N1
1351760,しょうさい,詳細,"detail, particulars",N1
1349780,しょうしん,昇進,promotion,N1
1349070,しょうすう,少数,"minority, few",N1
1351250,しょうする,称する,"to pretend, to take the name of, to feign, to purport",N1
1350250,しょうそく,消息,"news, letter, circumstances",N1
1349470,しょうだく,承諾,"consent, acquiescence, agreement",N1
1351900,しょうちょう,象徴,symbol,N1
1348200,しょうにか,小児科,pediatrics,N1
1351660,しょうにん,証人,witness,N1
1350990,しょうめい,照明,illumination,N1
1346240,しょうり,勝利,"victory, triumph, conquest, success, win",N1
1347550,しょうれい,奨励,"encouragement, promotion, message, address",N1
1357490,しょくいん,職員,"staff member, personnel",N1
1357350,しょくみんち,植民地,colony,N1
1357580,しょくむ,職務,professional duties,N1
1344230,しょくん,諸君,"Gentlemen!, Ladies!",N1
1343210,しょざい,所在,whereabouts,N1
1598730,しょしょ,所々,"here and there, some parts (of something)",N1
1343250,しょじ,所持,"possession, owning",N1
1343310,しょぞく,所属,"attached to, belong to",N1
1342470,しょち,処置,treatment,N1
1005710,しょっちゅう,,"always, constantly",N1
1343350,しょてい,所定,"fixed, prescribed",N1
1343360,しょとく,所得,"income, earnings",N1
