rank,hebrew,english_gloss,matched_word,cefr_level
328,בפני,in front of / in the presence of / in front of me / in my presence,front,B1
370,קישורים,links / the connections / the bindings,link,B1
421,אזור,area / region / zone,region,B1
426,מין,kind / species / gender / sex,sex,B1
468,מצב,state / situation,situation,B1
553,קשר,tie / bond / link / connection,link,B1
630,המין,the kind / the species / the gender / the sex,sex,B1
669,במצב,at a state / in a situation / at the state / in the situation,situation,B1
688,המצב,the state / the situation,situation,B1
702,הגנרל,the general,general,B1
708,אלוף,champion,champion,B1
777,האזור,the area / the region / the zone,region,B1
866,הקשר,the tie / the bond / the link / the connection,link,B1
892,הדת,the religion,religion,B1
925,לחיות,to live,live,B1
950,עמדה,stood / was about to / endured / succeeded / insisted on (f.s.) / position,position,B1
956,פרט,detail / individual / except,detail,B1
1053,המערכת,the system / / the editorial board,system,B1
1104,כללי,general (m.s.),general,B1
1129,מערכות,systems / / editorial boards,system,B1
1220,בחזית,at the front,front,B1
1253,טבעי,natural (m.s.),natural,B1
1313,הגבול,the border / the limit,limit,B1
1421,הכללי,the general (m.s.),general,B1
1566,דת,religion,religion,B1
1596,המקורי,the original (m.s.),original,B1
1627,נקבה,female / tunnel,tunnel,B1
1664,אזורים,areas / regions / zones,region,B1
1691,במערכת,in a system / in an editorial board / in the system / in the editorial board,system,B1
1702,עמדתי,my position / I stood / I was going to / I succeeded,position,B1
1712,הכללית,the general (m.pl.),general,B1
1762,החזית,the front / the frontier,front,B1
1790,בסך,in procession / total / only,total,B1
1797,הטבעי,the natural (m.s.),natural,B1
1887,קשרים,ties / bonds / links / connections,link,B1
1895,ההסתדרות,the Histadrut (the General Federation of Laborers in Israel),general,B1
1902,רעב,hunger / hungry (m.s.),hunger,B1
1926,האיחוד,the union,union,B1
2114,התקשורת,the communication / the media,medium,B1
2117,האפשרות,the possibility / the option,option,B1
2122,כושר,fitness / capability,fitness,B1
2162,למצב,to a state / to a situation / to the state / to the situation,situation,B1
2296,האנדרטה,the monument,monument,B1
2311,מקרה,case / event / incident / fortune / chance,chance,B1
2330,הטענה,the claim / the argument,argument,B1
2382,תקשורת,communication / media,medium,B1
2394,הדור,elegant / the generation,generation,B1
2419,פסלים,statues / sculptures,statue,B1
2461,מצוק,cliff,cliff,B1
2474,תעלת,channel of / canal of / trench of,canal,B1
2483,חזית,front / frontier,front,B1
2492,הפסל,the statue / the sculpture / the sculptor,statue,B1
2571,קשרי,ties of / bonds of / links of / connections of,link,B1
2606,מוחלט,decisive / definite / total (m.s.),total,B1
2620,שליטה,control,control,B1
2623,עמדות,positions,position,B1
2689,איחוד,union,union,B1
2703,מנגנון,system / mechanism,system,B1
2732,משרה,job / position / marinade / inspires / induces / marinades (m.s.) / inspires / induces / marinades (f.s.),position,B1
2734,טעם,flavor / taste / reason / tasted (m.s.),taste,B1
2754,דור,generation,generation,B1
2766,צור,rock / cliff,cliff,B1
2773,גנרל,general,general,B1
2778,לשלוט,to rule / to control,control,B1
2783,הקשרים,the ties / the bonds / the links / the connections / contexts,link,B1
2786,מחבר,connects / links / author (m.s.) / connector / from a friend,link,B1
2789,פסל,statue / sculpture / sculptor / rejected / disqualified (m.s.),statue,B1
2893,הבינוני,the medium / the mediocre,medium,B1
2894,העיוורים,the blind (pl.),blind,B1
2916,לפניו,before him / in front of him / to/for his face,front,B1
2930,גבולות,borders / limits,limit,B1
2943,בראיון,in an interview / in the interview,interview,B1
2981,הטבעית,the natural (f.s.),natural,B1
2985,הפסלים,the statues / the sculptures,statue,B1
2996,הרעב,the hunger / the hungry,hunger,B1
3051,טענות,claims / arguments,argument,B1
3054,האזורים,the areas / the regions / the zones,region,B1
3080,הטבעיים,the natural (m.pl.),natural,B1
3163,מוחלטת,decisive / definite / total (f.s.),total,B1
3184,כללית,general (f.s.),general,B1
3250,הנקבה,the female / the tunnel,tunnel,B1
3267,גבול,border / limit,limit,B1
3324,עיוורים,blind (pl.),blind,B1
3355,שירות,service,service,B1
3357,סיכוי,chance / probability,chance,B1
3363,הסיכוי,the chance / the probability,chance,B1
3470,קובע,determines / fixes / sets (m.s.),fix,B1
3500,סך,amount / total / procession,total,B1
3656,הבסיסי,the basic,basic,B1
3660,טבעית,natural (f.s.),natural,B1
3665,חיבור,connection / link / linkage / joining / joint / junction,link,B1
3687,מקצועי,professional (m.s.),professional,B1
3749,המקרה,the case / the event / the incident / the fortune / the chance,chance,B1
3754,בגדר,with a fence / with the fence / in the fence / within the limits of,limit,B1
3758,נקבות,females / tunnels,tunnel,B1
3792,טבעיים,natural (m.pl.),natural,B1
3799,תכנון,plan / design / layout,design,B1
3807,ואלוף,and a champion,champion,B1
3863,חול,sand / secular,sand,B1
3877,גוש,lump / block / mass / region,region,B1
3892,משלחת,expedition / delegation,expedition,B1
3913,למעמד,to/for a position / to/for a class / to/for a pedestal / to/for a scene / to/for the position / to/for the class / to/for the pedestal / to/for the scene,position,B1
3914,לאיחוד,to/for a union / to/for the union,union,B1
3952,ניסויים,experiments / trials,experiment,B1
4092,המצוק,the cliff,cliff,B1
4131,החולות,the sands,sand,B1
4139,מחסומים,barriers / blocks,block,B1
4148,התעלה,rose above / excelled (m.s.),rose,B1
4152,הלחץ,the pressure / the stress,stress,B1
4179,למין,to/for a kind / to/for a species / to/for a gender / to/for a sex / to/for the kind / to/for the species / to/for the gender / to/for the sex,sex,B1
4182,להשתלט,to take control of,control,B1
4186,שוכן,live / dwell (m.s.),live,B1
4241,מנהרות,tunnels,tunnel,B1
4275,הפרט,the detail / the individual,detail,B1
4404,העמדות,the positions,position,B1
4421,המעמד,the position / the class / the pedestal / the scene,position,B1
4441,אנדרטה,monument,monument,B1
4442,המקורית,the original (f.s.),original,B1
4452,להבדיל,to differentiate / to separate / to distinguish,separate,B1
4463,הניסוי,the experiment / the trial,experiment,B1
4596,לחזית,to the front,front,B1
4644,מנגנוני,systems of / mechanisms of,system,B1
4761,הנקבות,the females / the tunnels,tunnel,B1
4767,מקרי,accidental / random / by chance,chance,B1
4800,השליטה,the control,control,B1
4874,דגש,stress / emphasis,stress,B1
4894,הבסיסית,the basic (f.s.),basic,B1
4913,הוויכוח,the argument / the dispute,argument,B1
4917,קשריו,his/its ties / his/its bonds / his/its links / his/its connections,link,B1
4953,ובכלל,and in general,general,B1
5012,ויכוח,argument / dispute,argument,B1
5127,בשירות,in the service / in a service / in/at the service of,service,B1
5165,פסלי,statues of / sculptures of,statue,B1
5194,מצבי,my state / my situation,situation,B1
5208,ברעב,in hunger,hunger,B1
5240,עמדתו,his position,position,B1
5351,המוחלט,the total (m.s.),total,B1
5362,מנהרה,tunnel,tunnel,B1
5385,דורות,generations,generation,B1
5403,המנהרות,the tunnels,tunnel,B1
5621,יחסים,relations / to/for a system / to/for an editorial board / to/for the system of / to/for the editorial,system,B1
5622,למערכת,lema'arekhet / board of / to/for the system / to/for the editorial board,system,B1
5627,שרת,server / janitor,server,B1
5640,מקצועיים,professional (m.pl.),professional,B1
5660,בתקשורת,in the media / in the communication,medium,B1
5694,איגוד,union,union,B1
5699,הדורות,the generations,generation,B1
5709,לקשר,to link / to connect,link,B1
5835,האלופות,the champions (f.),champion,B1
5846,מצבו,his state / his situation,situation,B1
5847,מצבם,their state / their situation,situation,B1
5853,לגור,to live,live,B1
5966,ניסוי,experiment / trial,experiment,B1
6014,עיצוב,design,design,B1
6020,קובעת,determines / fixes / sets (f.s.),fix,B1
6038,בעיצוב,design of,design,B1
6039,בחולות,in the sands,sand,B1
6054,אנדרטת,monument of,monument,B1
6056,דרמה,drama,drama,B1
6058,אולפני,the studios of,studio,B1
6160,מחברת,author / connects / links (f.s.) / notebook / from the company of,link,B1
6258,בסיסיות,basic (f.pl.),basic,B1
6283,הבסיסיים,the basic (m.pl.),basic,B1
6307,חוליות,links / copula / vertebrate,link,B1
6340,שירותים,services / toilets,service,B1
6376,מנגנונים,systems / mechanisms,system,B1
6382,אנדרטאות,monuments,monument,B1
6537,שוכנים,live / dwell (m.pl.),live,B1
6563,הטענות,the claims / the arguments,argument,B1
6618,עיתונאים,journalists,journalist,B1
6660,המערכות,the systems / the battles / the acts,system,B1
6671,בגבול,at the border / at the limit,limit,B1
6693,המוחלטת,the total (f.s.),total,B1
6708,הדרמה,the drama,drama,B1
6753,הגוש,the lump / the block / the mass / the region,region,B1
6808,בסטודיו,in/at a studio / in/at the studio,studio,B1
6841,גמורה,total / complete / finished (f.s.),total,B1
6899,סיר,pot,pot,B1
6926,שירותי,services of / toilets of,service,B1
6970,בפניו,in front of him / in his presence,front,B1
6975,בסיסית,basic (f.s.),basic,B1
7008,התכנון,the planning / the design / the layout,design,B1
7058,במערכות,in systems / in battles / in acts / in the systems / in the battles / in the acts,system,B1
7140,גבולה,its border / its limit / her limit,limit,B1
7210,ומערכת,and a system / and the system of / and an editorial board / and the editorial board of,system,B1
7226,האנדרטאות,the monuments,monument,B1
7313,ממין,of a kind / of a gender / of a species / of sex,sex,B1
7359,כפסל,as a statue,statue,B1
7419,זית,olive,olive,B1
7446,בפניה,in front of her / in her presence,front,B1
7527,המעמדות,the positions / the classes,position,B1
7576,בפניהם,in front of them / in their presence,front,B1
7619,השתלטות,taking control / takeover,control,B1
7645,נפרדות,separate / individual (f.pl.),separate,B1
7670,מצבה,her state / her situation / gravestone,situation,B1
7676,עיוור,blind,blind,B1
7697,להתגורר,to live,live,B1
7718,בדורות,in generations,generation,B1
7765,מפלצות,monsters,monster,B1
7776,הברירה,the choice / the selection / the option,option,B1
7801,מהכלל,of the general / of the rule,general,B1
7841,הפרופסור,the professor,professor,B1
7943,גושי,lumps of / blocks of / masses of / regions of,region,B1
7946,במעמד,in a position / [in] a class / [in] a pedestal / at a scene / in the presence of,position,B1
7985,בשליטה,under control,control,B1
8014,לשירות,at the service of / to/for the service,service,B1
8062,למערכות,to/for systems / to/for editorial boards / to/for fights / to/for campaigns / to/for the systems / to/for the editorial boards / to/for the fights / to/for the campaigns / to/for the systems of / to/for the editorial boards of / to/for the fights of / to/for the / lema'arkhot / campaigns of,system,B1
8071,להפריד,to separate,separate,B1
8148,השירותים,the services / the toilets,service,B1
8158,הכלליים,the general (m.pl.),general,B1
8173,לתאוריה,to/for the theory / to/for a theory / for planning / for a design / for a layout / for the planning of / for the design of / for the,design,B1
8174,לתכנון,letikhnun / layout of / for the planning / for the design / for the layout,design,B1
8254,הכתב,the writing (n.) / the reporter,reporter,B1
8255,הבסיסיות,the basic (f.pl.),basic,B1
8290,חולות,sands,sand,B1
8294,משרות,jobs / positions / marinades (n.),position,B1
8313,פרוטה,dime / penny,penny,B1
8364,מרעב,of hunger,hunger,B1
8366,לעיני,in front of / to my eye,front,B1
8370,ורד,rose,rose,B1
8490,לדור,to live / to dwell,live,B1
8523,פרופסור,professor,professor,B1
8656,הגבולות,the borders / the limits,limit,B1
8685,שהונהגה,"that was led / that was introduced (a system, a procedure etc.)",system,B1
8738,לדת,to/for a religion / to/for the religion,religion,B1
8812,במצוק,[on] a cliff / [on] the cliff,cliff,B1
8837,חריפים,hot (taste) / severe (m.pl.),taste,B1
8840,המקוריים,the original (m.pl.),original,B1
8842,הדתות,the religions,religion,B1
8869,נוכח,is present / realized (m.s.) / in the presence of / in front of,front,B1
8921,בסיסיים,basic (m.pl.),basic,B1
8943,חיבורים,connections / links / linkages / joining / joints / junctions,link,B1
8980,העיתונאים,the journalists,journalist,B1
9126,מעמדם,their position / their status / their class,position,B1
9131,מהמין,from the kind / from the species / from the gender / from the sex,sex,B1
9140,לקשור,to tie / to bond / to link,link,B1
9154,לסתום,to block / to plug,block,B1
9158,תעלות,channels / canals / trenches,canal,B1
9167,שושנת,rose of,rose,B1
9223,במצבו,at his state / in his situation,situation,B1
9276,המקוריות,the original (f.pl.),original,B1
9283,השתלטו,took control (pl.),control,B1
9415,השירות,the service,service,B1
9443,באיחוד,in the union / in a union,union,B1
9449,טבעיות,natural (f.pl.),natural,B1
9474,מגוש,from a lump / from a block / from a mass /from a region,region,B1
9478,שולטת,rules / controls (f.s.),control,B1
9512,טיעונים,arguments,argument,B1
9519,מקצועית,professional (f.s.),professional,B1
9531,ומנהרות,and tunnels,tunnel,B1
9543,כלליים,general (m.pl.),general,B1
9568,טעמו,his taste / its taste / tested (pl.),taste,B1
9577,בעמדת,in a position of / in the position of,position,B1
9589,להדגיש,to stress / to emphasize,stress,B1
9602,דורו,his generation,generation,B1
9612,המקצועית,the professional (f.s.),professional,B1
9630,וריצה,and a run / and jogging (n.) / and pleased / and served (penalty) (v.) (m.s.),jogging,B1
9697,כור,reactor / melting pot,pot,B1
9705,הורדים,the roses,rose,B1
9764,מולה,in front of her,front,B1
9816,מחסום,barrier / block,block,B1
9822,לעצב,to design / to/for sadness / to/for a nerve / to/for the sadness / to/for the nerve,design,B1
9958,עמדת,the position of / the post of / the opinion of,position,B1
6,עם,with / people / nation,nation,B2
95,מנת,a portion of,portion,B2
223,שונות,difference / variation / variance (stat.) / different / various (f.pl.) / miscellaneous,variation,B2
478,בשלב,at a stage / at a phase,phase,B2
496,בסיס,basis / base,base,B2
571,דיוויזיות,divisions,division,B2
642,חוקי,legal (m.s.),legal,B2
652,שר,minister / sing (m.s.),minister,B2
673,העולמית,the global / the universal (f.s.),global,B2
971,העולמי,the global / the universal (m.s.),global,B2
1000,השונות,the difference / the variation / the variance (stat.) / the different / the various (f.pl.) / the miscelleneous,variation,B2
1068,עולה,rising / climbing / immigrant (m.s.) / rising / climbing / immigrant (f.s.),immigrant,B2
1099,התחנה,the station / the stop / the base,base,B2
1141,זאב,wolf,wolf,B2
1153,במצעד,in a parade / in a march / in the parade / in the march,parade,B2
1234,עולים,rising / increasing / climbing / immigrants (m.pl.),immigrant,B2
1276,מגן,defender / shield,defender,B2
1370,סמל,symbol / sergeant,symbol,B2
1477,הבסיס,the basis / the base,base,B2
1478,הפלישה,the invasion,invasion,B2
1480,שלב,stage / phase / rung,phase,B2
1503,עולי,immigrants of,immigrant,B2
1546,המהפכה,the revolution,revolution,B2
1670,חוזר,returns (m.s.) / repeats (m.s.) / returning / repeating / circular,circular,B2
1746,קרן,beam / ray / fund / horn / bugle,horn,B2
1847,יסודות,foundations / bases,base,B2
1874,העולים,the rising / the increasing / the climbing / the immigrants (m.pl.),immigrant,B2
1878,טרור,terror,terror,B2
1892,החלוקה,the division,division,B2
1913,פרשת,the affair of / the chapter of / the portion of,portion,B2
2029,גרסה,version,version,B2
2065,נפץ,explosion / detonator,explosion,B2
2072,יסוד,foundation / basis,basis,B2
2113,אימה,fear / terror,terror,B2
2140,המרתון,the marathon,marathon,B2
2184,עולמית,global / universal (f.s.),global,B2
2200,מנה,counted / included (m.s.) / portion,portion,B2
2223,הקבר,the grave,grave,B2
2424,האדון,the mister / the master,master,B2
2430,קרה,happened / occurred / cold (f.s.) / frost,frost,B2
2479,העמים,the people / the nations (pl.),nation,B2
2547,חוקית,legal (f.s.) / legally,legal,B2
2643,האדונים,the masters / Mr. (pl.),master,B2
2683,פלישה,invasion,invasion,B2
2817,שייך,belongs / relevant (m.s.),relevant,B2
2889,פיצוץ,explosion,explosion,B2
2900,מרתון,marathon,marathon,B2
2927,מנהל,manager / manages (m.s.) / administration / management,management,B2
2932,לשלב,to combine / to integrate / to/for the stage / to/for the phase / to/for the rung / to/for a stage / to/for a phase / to/for a rung,phase,B2
2947,הדיוויזיה,the division,division,B2
2961,עמם,their nation / their people / with them,nation,B2
3019,עורך,editor / arranges / holds (m.s.),editor,B2
3037,החוקי,the legal (m.s.),legal,B2
3136,השראה,inspiration,inspiration,B2
3162,ניהול,management,management,B2
3174,חלוקת,division of,division,B2
3178,השלב,the stage / the phase / the rung,phase,B2
3179,האות,the sign / the signal / the letter,signal,B2
3219,העורך,the editor,editor,B2
3238,אות,sign / signal / letter,signal,B2
3265,הטרור,the terror,terror,B2
3301,מוסד,institution,institution,B2
3411,הפרשה,the affair / the chapter / the portion / secretion / setting aside / allowance,portion,B2
3414,בבסיס,at the basis of / at the basis / at the base,base,B2
3418,משימות,tasks / assignments / missions,mission,B2
3428,האבולוציה,the evolution,evolution,B2
3682,גרסאות,versions,version,B2
3760,דיביזיית,division,division,B2
3917,הגרסה,the version,version,B2
3930,עמה,her people / her nation / with her,nation,B2
4013,בשלבים,in stages / in phases,phase,B2
4020,קרני,beams of / rays of / horns of / my honor,horn,B2
4081,אלמנטים,elements,element,B2
4106,האימה,the fear / the terror,terror,B2
4158,מעצמות,great nations / of bones,nation,B2
4162,תחושת,feeling of / sensation of,sensation,B2
4175,מפעיל,operates / operator (m.s.),operator,B2
4194,המחאה,check / the protest,protest,B2
4406,מסדר,arranges (m.s.) / lineup / parade,parade,B2
4446,בנוסח,version of / phrased / style of / the version of / the style of,version,B2
4486,התחנות,the stations / the stops / the bases,base,B2
4493,המשנה,that changes / the deputy / Mishnah (oral Jewish laws),oral,B2
4498,ניב,dialect / idiom / tusk,idiom,B2
4541,מחאה,protest,protest,B2
4543,מספרת,tells (f.s.) / hair salon of,salon,B2
4582,העירוני,the municipal / the urban (m.s.),urban,B2
4636,המהגרים,the immigrants,immigrant,B2
4650,קברו,buried (pl.) / his grave,grave,B2
4748,בכירים,seniors,senior,B2
4848,לבסס,to establish / to base,base,B2
4891,האומה,the nation,nation,B2
4895,הנהלת,the management of,management,B2
4918,עולמי,my world / global / universal (m.s.),global,B2
4935,בסיבוב,in a rotation / in a revolution / in the rotation / in the revolution,revolution,B2
4985,פרשה,affair / chapter / portion / retired (f.s.),portion,B2
5083,חוקיות,legal (f.pl.),legal,B2
5086,כבסיס,as a basis / as the basis,basis,B2
5133,סמלים,symbols / sergeants,symbol,B2
5158,אבולוציה,evolution,evolution,B2
5230,העולה,the rising / the climbing / the immigrant (m.s.) / the rising / the climbing / the immigrant (f.s.),immigrant,B2
5237,תחושה,feeling / sensation,sensation,B2
5245,השלבים,the stages / the phases / the rungs,phase,B2
5277,המגן,the defender / the shield,defender,B2
5285,הבכיר,the senior,senior,B2
5302,מפציצים,bombers / bomb (m.s.),bomber,B2
5349,פיגועי,the terrorist acts of,terrorist,B2
5382,הסיבוב,the rotation / the revolution,revolution,B2
5417,פלגת,group of (mil.) / division of (family),division,B2
5458,סיבובים,rotations / revolutions / whirls,revolution,B2
5535,פוגע,hits / damages / offensive (m.s.),offensive,B2
5625,שלבים,stages / phases / rungs,phase,B2
5639,נוסח,version / phrased / style,version,B2
5695,חוקיים,legal (m.pl.),legal,B2
5697,אטום,atom / sealed / opaque,atom,B2
5710,שלד,skeleton / framework,skeleton,B2
5727,ויטמין,vitamin,vitamin,B2
5743,הפרקליטות,the advocacy / the legal practice / the attorney general,legal,B2
5805,שקע,sank / declined (m.s.) / socket / depression / recess / lacuna,depression,B2
5922,העירוניים,the municipal / the urban (m.pl.),urban,B2
5978,עירוניים,municipal / urban (m.pl.),urban,B2
5980,המצעד,the parade / the march,parade,B2
6068,הפסקול,the soundtrack,soundtrack,B2
6080,מנות,portions,portion,B2
6145,השרים,the ministers,minister,B2
6173,לסיבוב,to/for/per round / to/for/per revolution / to/for the round / to/for the revolution,revolution,B2
6178,שייכים,belong / relevant (m.pl.),relevant,B2
6320,הסמלים,the symbols / the sergeants,symbol,B2
6334,ייעודו,his mission,mission,B2
6448,רגש,feeling / emotion,emotion,B2
6555,הפגנות,demonstrations,demonstration,B2
6573,סיבוב,rotation / revolution,revolution,B2
6619,אלמנט,element,element,B2
6710,הבסיסים,the bases,base,B2
6815,פסקול,soundtrack,soundtrack,B2
6824,בסיסים,bases,base,B2
6876,שייכת,belongs / relevant (f.s.),relevant,B2
6955,הזאב,the wolf,wolf,B2
7011,האומות,the nations,nation,B2
7022,מהפכת,the revolution of,revolution,B2
7031,הקוד,the code,code,B2
7037,מפעילי,operators of,operator,B2
7075,מהגרים,immigrants / immigrate (m.pl.),immigrant,B2
7100,קבר,grave,grave,B2
7149,עירוני,municipal / urban,urban,B2
7277,רבותי,[ladies and] gentlemen,gentleman,B2
7308,השר,the minister,minister,B2
7428,המעצמות,the great nations,nation,B2
7432,הקרה,the frost / the cold (f.s.),frost,B2
7433,הפיכה,revolution / conversion / turning / inversion,revolution,B2
7451,בכיר,senior,senior,B2
7473,לפלישה,for an invasion / for the invasion,invasion,B2
7504,בניהול,in management / under the management of,management,B2
7536,רגשות,feelings / emotions,emotion,B2
7560,חוזרים,return (m.pl.) / repeat (m.pl.) / repeating / circulars,circular,B2
7640,בטרור,using terror,terror,B2
7651,מעפילים,illegal immigrants (to Israel during the British mandate),immigrant,B2
7690,ממדים,dimensions,dimension,B2
7736,בגרסה,in a version / in the version,version,B2
7771,קידומת,prefix / area code,code,B2
7787,האטומים,the atoms / the sealed / the opaue,atom,B2
7842,הרגשה,feeling / sensation,sensation,B2
7882,משימה,task / assignment / mission,mission,B2
7918,פלג,section / division / stream / creek,division,B2
7967,המינהל,the administration / the management,management,B2
7971,סוכנים,agents,agent,B2
7999,הפיכת,revolution of / conversion of / turning of / inversion of,revolution,B2
8077,תרשים,sketch / chart / graph,graph,B2
8144,למשימות,to/for tasks / to/for assignments / to/for missions / to/for the tasks / to/for the assignments / to/for the missions,mission,B2
8187,אטומי,atomic / atoms of,atom,B2
8212,חלוקות,divisions,division,B2
8213,אטומים,atoms / sealed / opaque (m.pl.),atom,B2
8268,הניב,produced / yielded / the idiom / the tusk,idiom,B2
8275,ממדי,dimensions of,dimension,B2
8359,גוי,gentile / nation,nation,B2
8497,לניהול,of management / for the management of,management,B2
8498,לנהוג,to drive / to lead / to do something on a regular basis,basis,B2
8601,הבכירים,the seniors / the senior (m.pl.),senior,B2
8621,בשלבי,at the stages of / in the phases of / on the rungs of,phase,B2
8673,למחות,to protest / to wipe,protest,B2
8679,והפיכת,and the revolution of / and the conversion of / and the turning of / and the inversion of,revolution,B2
8698,המחאות,checks (n.) / the protests,protest,B2
8708,הסמל,the symbol / the sergeant,symbol,B2
8767,השייך,that/which belongs / that is relevant,relevant,B2
8770,העירונית,the municipal / the urban (f.s.),urban,B2
8775,הגדרות,definitions / the fences,definition,B2
8811,הבנקאית,the banker (f.) / the banker / the bank,banker,B2
8862,הקרן,the beam / the ray / the fund / the horn / the bugle,horn,B2
8879,לבסיס,to/for a basis / to/for the basis,basis,B2
8887,חלוקה,division / distribution,division,B2
8897,גרסתו,his version,version,B2
8922,ממד,dimension,dimension,B2
8988,המשימות,the tasks / the assignments / the missions,mission,B2
8991,הפטיש,the hammer,hammer,B2
9178,פוגעים,hit / damage / offensive (m.pl.),offensive,B2
9180,עורכי,editors of / arrangers of (m.pl.),editor,B2
9285,החוקית,the legal (f.s.),legal,B2
9372,לשר,to/for the minister / to/for a minister,minister,B2
9480,פלגות,groups (mil.) / division (family),division,B2
9485,הוותיקים,the veterans / the seniors,senior,B2
9551,השלד,the skeleton / the framework,skeleton,B2
9646,שלבי,stages of / phases of / rungs of,phase,B2
9754,הגאות,the tide,tide,B2
9778,תחושות,feelings / sensations,sensation,B2
9781,ותיק,veteran / senior,senior,B2
9802,בקרן,in a beam / in a ray / in a fund / with a horn / [in] a bugle,horn,B2
9851,השפל,the low tide / the recession / the heinous / humiliate (m.s. imperative),tide,B2
9852,הקצב,the rate / the butcher,rate,B2
9917,להסתמך,to rely / to base oneself on / to refer,base,B2
9951,קיפאון,frost / freezing,frost,B2
9957,עמים,nations,nation,B2
9967,חקלאיות,agricultural / rural,rural,B2
9970,אדונו,his master,master,B2
354,המרד,the rebellion,rebellion,C1
561,במידה,of a measure / of size / of a quality / to the extent that / [if (slang)],slang,C1
694,החלבון,the protein,protein,C1
918,מעמד,class (social) / status / scene / pedestal,status,C1
1175,טנקים,tanks,tank,C1
1449,מרד,rebellion / rebelled (m.s.),rebellion,C1
2354,חלבונים,proteins,protein,C1
2549,היריב,the rival / the opponent / the enemy (m.s.),rival,C1
2685,תוכניתו,his plan / his program / his layout,layout,C1
2998,יקרה,prestige,prestige,C1
3045,במרד,[in] a rebellion / [in] the rebellion,rebellion,C1
3292,חידוש,innovation,innovation,C1
3325,המרי,the rebellion,rebellion,C1
3383,הטנקים,the tanks,tank,C1
3565,החלבונים,the proteins,protein,C1
3589,נכבד,honorable / notable,notable,C1
3627,למרד,to/for a rebellion / to/for the rebellion,rebellion,C1
4176,מעמדו,his position / his status / his class,status,C1
4652,איור,illustration,illustration,C1
4687,חלבון,protein,protein,C1
4738,הקדמונים,the prehistoric / the ancient / the primitive (m.pl.),primitive,C1
5044,הנגד,the opposition / the resistor / the non commissioned officer,opposition,C1
5358,מתקני,installations of / devices of,installation,C1
5775,היריבה,the rival / the opponent / the enemy (f.s.),rival,C1
5841,מתקן,corrects / repairs (m.s.) / installation / device,installation,C1
5918,נייטרליות,neutral (f.pl.) / neutral,neutral,C1
5990,נייטרלי,neutral (m.s.),neutral,C1
6091,האופוזיציה,the opposition,opposition,C1
6290,טנק,tank,tank,C1
6380,הגאונים,the geniuses,genius,C1
6586,תכניות,plans / programs / layouts,layout,C1
6647,מעמדה,her position / her status / her class,status,C1
6793,ובמידה,and of a measure / and of size / of a quality / to the extent that / [if (slang)],slang,C1
7207,מרי,rebellion,rebellion,C1
7344,מריו,his rebellion,rebellion,C1
7609,עונשין,panel,panel,C1
7944,גאון,genius,genius,C1
8012,יוזמה,initiative / enterprise,initiative,C1
8219,הקדמון,the prehistoric / the ancient / the primitive (m.s.),primitive,C1
8266,זוגי,even / dual / for two,dual,C1
8549,הגאון,the genius,genius,C1
8632,יריב,rival / opponent / enemy (m.s.),rival,C1
8757,חובבים,amateurs / like (m.pl.),amateur,C1
8820,הברונזה,the bronze,bronze,C1
8995,בחלבון,in protein / in the protein,protein,C1
9262,יריביו,his rivals / his opponents / his enemies,rival,C1
9609,בתוכניות,in plans / in programs / in layouts / in the plans / in the programs / in the layouts,layout,C1
9974,ארד,bronze,bronze,C1
