english_word,part_of_speech,german,cefr_level,guideword,topic
down and out,phrase,runter und raus,C2,IDIOM,
downhill,adverb,bergab,C2,TOWARDS BOTTOM,
download,verb,herunterladen,A2,,"people: actions, technology"
download,noun,herunterladen,B1,,technology
downside,noun,Nachteil,C1,,
downstairs,adverb,unten,A2,,buildings
downstairs,adjective,unten,B1,,buildings
down the drain,phrase,im Eimer,C2,IDIOM,
down to earth,phrase,auf dem Boden geblieben,C1,IDIOM,
down-to-earth,adjective,auf dem Boden geblieben,C1,,
down under,phrase,unter,C2,IDIOM,
downward,adjective,nach unten,C1,,
downwards,adverb,nach unten,C1,,
Do you mind ...?,phrase,Macht es dir etwas aus ...?,A2,,communication
do your best,phrase,Gib dein Bestes,B1,,
"do your hair/make-up, etc.",phrase,Machen Sie Ihre Haare/Make-up usw.,B1,,"people: actions, people: appearance"
do your own thing,phrase,Mach dein eigenes Ding,C2,IDIOM,
do your utmost,phrase,Gib dein Möglichstes,C1,,
dozen,noun,Dutzend,B1,,describing things
dozens,phrase,Dutzende,C1,,
Dr,noun,Dr,A2,,work
draft,noun,Entwurf,B2,,communication
draft,verb,Entwurf,C1,,"communication, people: actions"
drag,verb,ziehen,B2,PULL,people: actions
drag,verb,ziehen,B1,COMPUTER,"people: actions, technology"
drag,verb,ziehen,C2,TIME,
drag and drop,phrase,Drag & Drop,B1,,"people: actions, technology"
"drag sb along/out/to, etc.",phrase,entlang/heraus/hin ziehen usw.,C2,,people: actions
drain,verb,Abfluss,C2,REMOVE LIQUID,
drain,verb,Abfluss,C2,FLOW AWAY,
drain,verb,Abfluss,C2,MAKE TIRED,
drain,verb,Abfluss,C2,REDUCE,
drain,noun,Abfluss,C2,FOR WATER,
drama,noun,Drama,B1,THEATRE,arts and media
drama,noun,Drama,B1,EXCITEMENT,
dramatic,adjective,dramatisch,B2,,
dramatically,adverb,dramatisch,B2,,
drastic,adjective,drastisch,C1,,
drastically,adverb,drastisch,C1,,
draught,noun,Entwurf,C1,,
draw,verb,ziehen,A1,PICTURE,"arts and media, people: actions"
draw,verb,ziehen,B2,ATTRACT,people: personality
draw,verb,ziehen,C1,SPORT,shopping
draw a comparison/distinction,phrase,einen Vergleich/eine Unterscheidung ziehen,C2,,
draw a conclusion,phrase,eine Schlussfolgerung ziehen,B2,,
drawback,noun,Nachteil,C1,,
drawer,noun,Schublade,A2,,buildings
drawing,noun,Zeichnung,A2,,"arts and media, people: actions"
"draw into/out/away, etc.",phrase,hineinziehen/herausziehen/wegziehen usw.,B2,,people: actions
draw near/close,phrase,näher kommen/nahen,B2,,
draw on sth,phrasal verb,weiter zeichnen,C1,,
draw (sb's) attention to sth/sb,phrase,(jdm) die Aufmerksamkeit auf jdn. lenken,B2,,
draw (sb's) attention to sth/sb,phrase,(jdm) die Aufmerksamkeit auf jdn. lenken,B2,,people: actions
"draw sth/sb across/back/over, etc.",phrase,ziehen/sb quer/zurück/über usw.,C2,,
draw sth up or draw up sth,phrasal verb,ausarbeiten oder ausarbeiten,C1,,
draw the line (at sth),phrase,die Grenze ziehen (bei),C2,IDIOM,
draw to a close/end,phrase,zu Ende gehen/zu Ende gehen,C2,,
dread,verb,Furcht,C2,,
dreadful,adjective,schrecklich,B2,,describing things
dream,noun,Traum,A2,SLEEP,
dream,noun,Traum,B1,HOPE,people: personality
dream,verb,Traum,A2,SLEEP,
dream,verb,Traum,B1,IMAGINE,
dress,noun,Kleid,A1,,clothes
dress,noun,Kleid,B2,STYLE,clothes
dress,verb,Kleid,A2,PUT ON CLOTHES,"clothes, people: actions"
dress,verb,Kleid,B1,WEAR PARTICULAR CLOTHES,clothes
dressed,adjective,gekleidet,A2,WEARING CLOTHES,"clothes, people: appearance"
dressed,adjective,gekleidet,B1,PARTICULAR CLOTHES,"clothes, people: appearance"
drift,verb,Drift,C2,SITUATION,
"drift across/down/towards, etc.",phrase,quer/unten/zu usw. driften,C2,,
drift apart,phrasal verb,auseinander driften,C2,,
drift off,phrasal verb,abdriften,C2,,
drink,noun,trinken,A1,LIQUID,food and drink
drink,verb,trinken,A1,LIQUID,"food and drink, people: actions"
drink,noun,trinken,A2,ALCOHOL,food and drink
drink,verb,trinken,A2,ALCOHOL,"food and drink, people: actions"
drive,verb,fahren,A1,USE VEHICLE,"people: actions, travel"
drive,verb,fahren,C2,MAKE WORK,
drive,noun,fahren,B1,JOURNEY,"people: actions, travel"
drive,noun,fahren,B1,COMPUTER,technology
drive,noun,fahren,C1,ENERGY,people: personality
driver,noun,Treiber,A1,,"travel, work"
"drive sb mad/crazy, etc.",phrase,verrückt/verrückt werden usw.,B2,,people: personality
drive sb/sth out,phrasal verb,rausfahren/etw,C2,,
drive sb to sth; drive sb to do sth,phrase,"fahren zu; fahren, um zu tun",C1,,
drive/send sb round the bend,phrase,um die Kurve fahren/schicken,C2,IDIOM,
driving licence,noun,Führerschein,A2,,travel
drop,verb,fallen,B1,FALL,people: actions
drop,verb,fallen,B2,LOWER,describing things
drop,verb,fallen,B2,STOP ACTIVITY,people: actions
drop,verb,fallen,C1,TAKE,travel
drop,noun,fallen,B1,LIQUID,describing things
drop,noun,fallen,B2,REDUCTION,describing things
drop,noun,fallen,C1,DISTANCE,
drop dead,phrase,tot umfallen,C2,,
drop it/the subject,phrase,Lass es/das Thema fallen,C2,,communication
drought,noun,Trockenheit,C2,,
drown,verb,ertrinken,B2,DIE,
drown,verb,ertrinken,C2,COVER,
drug,noun,Arzneimittel,B2,ILLEGAL SUBSTANCE,body and health
drug,noun,Arzneimittel,B2,MEDICINE,body and health
drum,noun,Trommel,A2,,arts and media
drunk,adjective,betrunken,B2,,food and drink
dry,adjective,trocken,A2,NO RAIN,natural world
dry,adjective,trocken,A2,NOT WET,natural world
dry,adjective,trocken,C1,HAIR/SKIN,body and health
dry,adjective,trocken,C1,WINE,food and drink
dry,adjective,trocken,C2,BORING,describing things
dry,verb,trocken,A2,,
dry up,phrasal verb,austrocknen,C2,,
dual,adjective,Dual,C1,,
dubious,adjective,zweifelhaft,C2,NOT TRUE,
dubious,adjective,zweifelhaft,C2,DOUBTING,
duck,noun,Ente,A2,,animals
due,adjective,fällig,B1,EXPECTED,
due,adjective,fällig,C2,DESERVE,
due,adjective,fällig,C2,BEHAVIOUR,
due to,phrase,wegen,B1,,communication
dull,adjective,langweilig,B1,BORING,
dull,adjective,langweilig,C1,NOT BRIGHT,describing things
dumb,adjective,dumm,C1,,body and health
dump,verb,entsorgen,C1,GET RID OF,
dump,verb,entsorgen,C2,END RELATIONSHIP,
dump,noun,entsorgen,C1,WASTE,
dump,noun,entsorgen,C2,UNTIDY PLACE,
"dump sth on/in/down, etc.",phrase,Dump auf/in/unten usw.,C2,,people: actions
duration,noun,Dauer,C1,,
during,preposition,während,A2,AT SOME TIME IN,
during,preposition,während,A2,THROUGH,
during/in/over the course of sth,phrase,während/im/im Laufe von,C1,,
dust,noun,Staub,B1,,
dustbin,noun,Mülltonne,B1,,buildings
dusty,adjective,staubig,B1,,
duty,noun,Pflicht,B1,RIGHT THING TO DO,
duty,noun,Pflicht,B2,JOB,work
duty-free,adjective,zollfrei,B1,,"money, shopping"
duvet,noun,Bettdecke,B1,,buildings
DVD,noun,DVD,A1,,technology
dwell on/upon sth,phrasal verb,verweilen bei/auf,C1,,
dynamic,adjective,dynamisch,B2,ACTIVE,people: personality
dynamic,adjective,dynamisch,C2,CHANGING,
each,pronoun,jede,A1,,
each,determiner,jede,A1,,
each other,phrase,gegenseitig,A2,,
eager,adjective,erpicht,B2,,people: personality
eagerly,adverb,eifrig,B2,,people: personality
eagerness,noun,Eifer,B2,,people: personality
eagle,noun,Adler,B2,,animals
ear,noun,Ohr,A1,ON HEAD,body and health
earache,noun,Ohrenschmerzen,B1,,body and health
early,adverb,früh,A2,BEFORE,
early,adverb,früh,A1,BEGINNING,
early,adjective,früh,B1,BEFORE,
early,adjective,früh,A2,BEGINNING,
early on,phrase,schon früh,C2,,
earn,verb,verdienen,A2,GET MONEY,"money, work"
earn,verb,verdienen,C2,DESERVE,
earn a/your living,phrase,Verdiene deinen Lebensunterhalt,B2,,
earnings,noun,Verdienst,B2,,"money, work"
earring,noun,Ohrring,A2,,clothes
earth,noun,Erde,B1,PLANET,natural world
earth,noun,Erde,B2,SUBSTANCE,natural world
earthquake,noun,Erdbeben,B2,,natural world
ease,noun,Leichtigkeit,B2,NOT DIFFICULT,
easier said than done,phrase,leichter gesagt als getan,C1,IDIOM,
easily,adverb,leicht,A2,NO DIFFICULTY,
easily,adverb,leicht,C1,LIKELY,
"easily the best/worst/biggest, etc.",phrase,leicht das Beste/Schlechteste/Größte usw.,C2,,
east,noun,Ost,A2,DIRECTION,
east,adverb,Ost,A2,,
east,adjective,Ost,A2,,
eastern,adjective,östlich,B1,EAST PART,
eastern,adjective,östlich,B2,ASIA,
easy,adjective,einfach,A1,,
easygoing,adjective,unbeschwerte,B1,,people: personality
eat,verb,essen,A1,SWALLOW FOOD,"food and drink, people: actions"
eat,verb,essen,A1,HAVE MEAL,"food and drink, people: actions"
eat out,phrasal verb,auswärts essen,B1,,"food and drink, people: actions"
eat up (sth) or eat (sth) up,phrasal verb,(etw) aufessen oder (etw) aufessen,B2,,"food and drink, people: actions"
eccentric,adjective,Exzenter,C2,,people: personality
echo,verb,Echo,C2,SOUND,
echo,verb,Echo,C2,REPEAT,
echo,noun,Echo,C2,SOUND,
ecological,adjective,ökologisch,B2,,natural world
ecologically,adverb,ökologisch,B2,,natural world
ecology,noun,Ökologie,C1,,natural world
economic,adjective,wirtschaftlich,B2,,money
economical,adjective,wirtschaftlich,B2,,money
economic/political/social order,phrase,wirtschaftliche/politische/soziale Ordnung,C2,,
economics,noun,Wirtschaft,B1,,"education, money"
economist,noun,Ökonom,B2,,"education, money, work"
economy,noun,Wirtschaft,B2,,money
edge,noun,Rand,B1,OUTER POINT,
edge,noun,Rand,B2,BLADE,
edible,adjective,essbar,C1,,
edit,verb,bearbeiten,B2,,"communication, people: actions"
edition,noun,Ausgabe,B2,,arts and media
editor,noun,Editor,B2,,"arts and media, work"
educate,verb,erziehen,B2,TEACH,"education, people: actions"
educate,verb,erziehen,B2,GIVE INFORMATION,"communication, people: actions"
educated,adjective,gebildet,B2,,"education, people: personality"
education,noun,Ausbildung,B1,,education
educational,adjective,pädagogisch,B2,,education
effect,noun,Wirkung,B1,RESULT,
effective,adjective,wirksam,B2,,
effectively,adverb,effektiv,B2,SUCCESS,
effectively,adverb,effektiv,C2,REALLY,
effectiveness,noun,Wirksamkeit,C1,,
efficiency,noun,Effizienz,B2,,
efficient,adjective,effizient,B1,,
efficiently,adverb,effizient,B2,,
effort,noun,Bemühung,B1,ATTEMPT,people: actions
effort,noun,Bemühung,B1,ENERGY,
egg,noun,Ei,A1,FOOD,food and drink
egg,noun,Ei,B2,BABY,animals
eight,number,acht,A1,,
eighteen,number,achtzehn,A1,,
eighth,number,achte,A2,,
eighty,number,achtzig,A2,,
either,adverb,entweder,B1,,
either,pronoun,entweder,B1,ONE OF TWO,
either... or,phrase,entweder... oder,B1,,
"either side/end, etc.",phrase,auf beiden Seiten/Enden usw.,B2,,
either way,phrase,So oder so,B1,,
elaborate,adjective,durchdacht,C2,,describing things
elapse,verb,verstreichen,C2,,
elated,adjective,begeistert,C2,,people: personality
elbow,noun,Ellbogen,B1,,body and health
elderly,adjective,ältere Menschen,B1,,people: appearance
elder sister/brother/son/daughter,phrase,ältere Schwester/Bruder/Sohn/Tochter,B1,,"people: appearance, relationships"
"eldest child/brother/daughter, etc.",phrase,ältestes Kind/Bruder/Tochter usw.,B1,,"people: appearance, relationships"
elect,verb,wählen,B2,,"people: actions, politics"
election,noun,Wahl,B1,,politics
electric,adjective,elektrisch,B1,SUPPLY,technology
electric,adjective,elektrisch,A2,EQUIPMENT,technology
electric,adjective,elektrisch,C2,EXCITING,
electrical,adjective,elektrisch,B1,USING ELECTRICITY,technology
electrical,adjective,elektrisch,C1,SUPPLY,
electrician,noun,Elektriker,B2,,"technology, work"
electricity,noun,Strom,A2,,technology
electronic,adjective,elektronisch,B1,EQUIPMENT,technology
electronic,adjective,elektronisch,B1,TECHNOLOGY,technology
electronically,adverb,elektronisch,B2,,technology
electronics,noun,Elektronik,B2,,"education, technology"
elegance,noun,Eleganz,C1,,people: appearance
elegant,adjective,elegant,B2,,people: appearance
elegantly,adverb,elegant,B2,,people: appearance
element,noun,Element,B2,PART,
element,noun,Element,B2,SIMPLE SUBSTANCE,natural world
elementary,adjective,elementar,B1,,education
elephant,noun,Elefant,A2,,animals
eleven,number,elf,A1,,
eligible,adjective,berechtigt,C1,,
eliminate,verb,beseitigen,C1,GET RID OF,
eliminate,verb,beseitigen,C1,COMPETITION,shopping
elimination,noun,Beseitigung,C2,,
elite,noun,Elite,C1,,
else,adverb,anders,A2,IN ADDITION,describing things
else,adverb,anders,A2,OTHER,
else,adverb,anders,A2,DIFFERENT,
elsewhere,adverb,anderswo,B2,,
elusive,adjective,schwer fassbar,C2,,
email,noun,E-Mail,A1,SYSTEM,"communication, technology"
email,noun,E-Mail,A1,MESSAGE,"communication, technology"
email,verb,E-Mail,A2,,"communication, people: actions, technology"
embarrass,verb,in Verlegenheit bringen,C2,,
embarrassed,adjective,beschämt,B1,,people: personality
embarrassing,adjective,peinlich,B1,,people: personality
embarrassment,noun,Verlegenheit,B2,,people: personality
embassy,noun,Botschaft,B1,,"buildings, politics"
embody,verb,verkörpern,C2,,
embrace,verb,umarmen,C1,ACCEPT,
embrace,verb,umarmen,C1,INCLUDE,
embrace,verb,umarmen,C2,HOLD,
embrace,noun,umarmen,C2,,
emerge,verb,auftauchen,B2,APPEAR,
emerge,verb,auftauchen,C1,BECOME KNOWN,
emergency,noun,Notfall,B1,,
eminent,adjective,bedeutend,C2,,people: personality
emission,noun,Emission,C1,,
emit,verb,emittieren,C2,,
emotion,noun,Emotion,B2,,people: personality
emotional,adjective,emotional,B2,EMOTIONS,people: personality
emotional,adjective,emotional,B2,STRONG FEELINGS,people: personality
emotionally,adverb,emotional,B2,,people: personality
empathy,noun,Empathie,C2,,people: personality
emperor,noun,Kaiser,C1,,
emphasis,noun,Schwerpunkt,B2,,communication
emphasize,verb,betonen,B2,,communication
empire,noun,Reich,C1,BUSINESSES,
empire,noun,Reich,C1,COUNTRIES,
empirical,adjective,empirisch,C2,,
employ,verb,beschäftigen,B1,JOB,"people: actions, work"
employ,verb,beschäftigen,C1,USE,
employee,noun,Mitarbeiter,B1,,work
employer,noun,Arbeitgeber,B1,,work
employment,noun,Anstellung,B1,,work
empty,adjective,leer,A2,NOTHING INSIDE,
empty,adjective,leer,C1,NO MEANING,
enable,verb,aktivieren,B2,,people: actions
enclose,verb,beifügen,B2,SEND,"communication, people: actions"
enclose,verb,beifügen,C1,BE ALL AROUND,
encounter,verb,begegnen,B2,,
encourage,verb,ermutigen,B1,MAKE MORE LIKELY,communication
encourage,verb,ermutigen,B1,GIVE CONFIDENCE,communication
encouragement,noun,Ermutigung,B2,,communication
encouraging,adjective,ermutigend,B2,,people: personality
end,noun,Ende,A1,FINAL PART,
end,noun,Ende,A2,FURTHEST PART,
end,noun,Ende,B2,STOP,
end,verb,Ende,A2,,people: actions
endangered,adjective,gefährdet,B2,,"animals, natural world"
endeavour,noun,Bemühen,C2,,
endeavour to do sth,phrase,Bemühen Sie sich zu tun,C1,,
ending,noun,Ende,B1,WORD,communication
ending,noun,Ende,B1,FINAL PART,
endless,adjective,endlos,B2,,
endorse,verb,befürworten,C2,,
end up,phrasal verb,enden,B1,,
endurance,noun,Ausdauer,C2,,
endure,verb,aushalten,B2,,people: personality
enemy,noun,Feind,B1,PERSON,relationships
enemy,noun,Feind,B2,COUNTRY/ARMY,"politics, relationships"
energetic,adjective,energisch,B2,,people: personality
energy,noun,Energie,B1,STRENGTH,
energy,noun,Energie,B1,"ELECTRICITY, GAS, ETC",
enforce,verb,erzwingen,C1,,
engage,verb,engagieren,C1,,
engaged,adjective,beschäftigt,B1,MARRIAGE,relationships
engaged,adjective,beschäftigt,B1,IN USE,communication
engage in sth,phrasal verb,sich engagieren,C2,,
engine,noun,Motor,A2,,"technology, travel"
engineer,noun,Ingenieur,A2,,"technology, work"
engineering,noun,Maschinenbau,B1,,"education, technology, work"
engrossed,adjective,vertieft,C2,,
enhance,verb,erweitern,C1,,
enjoy,verb,genießen,A1,PLEASURE,people: personality
enjoy,verb,genießen,C2,GOOD SITUATION,
enjoyable,adjective,angenehm,B1,,people: personality
enjoyment,noun,Vergnügen,B2,,people: personality
enjoy yourself,phrase,amüsieren Sie sich,A2,,people: personality
enormous,adjective,enorm,B1,,describing things
enough,determiner,genug,B2,NEGATIVE COMMENT,describing things
enough,determiner,genug,A2,NECESSARY AMOUNT,describing things
enough,adverb,genug,A2,NECESSARY AMOUNT,
enquire,verb,erkundigen,B2,,communication
enquiry,noun,Anfrage,B1,QUESTION,communication
enquiry,noun,Anfrage,C2,OFFICIAL PROCESS,
enrich,verb,bereichern,C1,,
ensure,verb,sicherstellen,B2,,people: actions
enter,verb,eingeben,A2,PLACE,"people: actions, travel"
enter,verb,eingeben,B1,COMPETITION,"people: actions, shopping"
enter,verb,eingeben,B1,INFORMATION,"people: actions, technology"
enter,verb,eingeben,C1,PERIOD OF TIME,
enterprise,noun,Unternehmen,C1,BUSINESS,work
enterprise,noun,Unternehmen,C2,PLAN,
enterprise,noun,Unternehmen,C1,QUALITY,people: personality
entertain,verb,unterhalten,B1,,"arts and media, people: actions"
entertainer,noun,Entertainer,B2,,"arts and media, work"
entertaining,adjective,unterhaltsam,B2,,"arts and media, people: personality"
entertainment,noun,Unterhaltung,B1,,arts and media
enthusiasm,noun,Begeisterung,B2,,people: personality
enthusiastic,adjective,enthusiastisch,B2,,people: personality
enthusiastically,adverb,begeistert,B2,,people: personality
entire,adjective,gesamte,B2,,describing things
entirely,adverb,vollständig,B2,,communication
entitle,verb,berechtigen,B2,GIVE RIGHT,
entitle,verb,berechtigen,C1,GIVE TITLE,
entity,noun,juristische Person,C2,,
entrance,noun,Eingang,A2,DOOR,buildings
entrance,noun,Eingang,B1,RIGHT,
entrance,noun,Eingang,C2,COMING IN,
entry,noun,Eintrag,B1,PLACE,travel
entry,noun,Eintrag,B1,INFORMATION,communication
entry,noun,Eintrag,B1,JOINING OR TAKING PART,
entry,noun,Eintrag,B1,COMPETITION WORK,
envelope,noun,Umschlag,A2,,communication
environment,noun,Umfeld,B2,SURROUNDINGS,
environmental,adjective,Umwelt,B1,,natural world
environmentalist,noun,Umweltschützer,C1,,
environmentally,adverb,Umweltfreundlich,B2,,natural world
environmentally friendly,adjective,umweltfreundlich,B2,,natural world
envisage,verb,vorsehen,C1,,
envision,verb,vorstellen,C1,,
envy,verb,Neid,B2,,people: personality
envy,noun,Neid,B2,FEELING OF WANTING,people: personality
episode,noun,Folge,B2,EVENT,
episode,noun,Folge,B2,PART OF STORY,arts and media
equal,adjective,gleich,B1,"SAME AMOUNT/NUMBER, ETC.",describing things
equal,adjective,gleich,B2,AS IMPORTANT,
equal,noun,gleich,B2,,
equality,noun,Gleichwertigkeit,B2,,
equally,adverb,gleichermaßen,B2,SAME WAY,
equally,adverb,gleichermaßen,C1,SAME AMOUNTS,
equally,adverb,gleichermaßen,C1,SAME DEGREE,
equate,verb,gleichsetzen,C2,,
equation,noun,Gleichung,C1,,
equip,verb,ausrüsten,B2,,technology
equipment,noun,Ausrüstung,B1,,technology
equivalent,adjective,Äquivalent,C1,,
equivalent,noun,Äquivalent,C1,,
era,noun,Epoche,B2,,
eradicate,verb,ausrotten,C2,,
erode,verb,erodieren,C2,REMOVE,natural world
erode,verb,erodieren,C2,DESTROY,
erosion,noun,Erosion,C1,PHYSICAL DAMAGE,
erosion,noun,Erosion,C2,NEGATIVE EFFECT,
error,noun,Fehler,B2,,
erupt,verb,ausbrechen,C2,,natural world
escalator,noun,Rolltreppe,B2,,buildings
escape,verb,Flucht,B1,GET AWAY,people: actions
escape,verb,Flucht,C2,FORGET,
escape,verb,Flucht,B2,AVOID,
escape,verb,Flucht,C2,NOT NOTICE,
escape,noun,Flucht,B2,FORGETTING PROBLEMS,
escape,noun,Flucht,C1,GETTING OUT,people: actions
especially,adverb,besonders,A2,VERY MUCH,communication
especially,adverb,besonders,B2,ONLY,
essay,noun,Aufsatz,B1,,"communication, education"
essence,noun,Wesen,C2,BASIC QUALITY,
essential,adjective,essentiell,B1,NECESSARY,
essential,adjective,essentiell,C2,BASIC,
essentially,adverb,im Wesentlichen,B2,,
establish,verb,gründen,B2,START,"people: actions, work"
establish,verb,gründen,C2,DISCOVER,
establish,verb,gründen,C2,DECIDE,
"establish communication/relations, etc.",phrase,Kommunikation/Beziehungen aufbauen usw.,C1,,
establishment,noun,Gründung,C1,ORGANIZATION,work
establishment,noun,Gründung,C1,STARTING,
establish sb/sth as sth,phrase,etw. etablieren,C1,,
estate,noun,Anwesen,B2,LAND,
estate,noun,Anwesen,B2,BUILDINGS,buildings
estimate,verb,schätzen,B2,,people: actions
estimate,noun,schätzen,B2,,people: actions
estimated,adjective,geschätzt,B2,,
ethical,adjective,ethisch,C2,RIGHT/WRONG,
ethical,adjective,ethisch,C2,GOOD,
ethics,phrase,Ethik,C2,,
ethnic,adjective,ethnisch,C1,,
euro,noun,Euro,A2,,money
evaluate,verb,auswerten,C1,,
evaluation,noun,Auswertung,C1,,
even,adverb,sogar,B1,EMPHASIS,
even,adverb,sogar,A2,SURPRISE,
even if,phrase,selbst wenn,B2,,communication
evening,noun,Abend,A1,,
even so,phrase,auch so,C1,,
event,noun,Ereignis,B1,HAPPENING,
event,noun,Ereignis,B1,RACE,
eventful,adjective,ereignisreich,C2,,
even though,phrase,wenngleich,B2,,communication
even though,phrase,wenngleich,B2,,
eventual,adjective,schließlich,C2,,
eventually,adverb,letztlich,B2,,
ever,adverb,immer,A2,AT ANY TIME,
"ever-changing/growing/increasing, etc.",phrase,sich ständig verändernd/wachsend/zunehmend usw.,C2,,
ever since,phrase,seitdem,B1,,
ever so,phrase,überhaupt,B2,,
ever such a,phrase,jemals so ein,C2,,
every,determiner,jeder,A1,EACH,describing things
every,determiner,jeder,A1,HOW OFTEN,
every,determiner,jeder,B2,POSSIBLE,
everybody,pronoun,alle,A2,,
every now and then,phrase,hin und wieder,C1,,
(every) once in a while,phrase,(jedenfalls) hin und wieder,B2,,
everyone,pronoun,alle,A2,,
"every other day/week, etc.",phrase,jeden zweiten Tag/jede zweite Woche usw.,C2,,
every single,phrase,jedes einzelne,B1,,
every so often,phrase,hin und wieder,C2,,
everything,pronoun,alles,A2,,describing things
everywhere,adverb,überall,A2,,
evidence,noun,Beweis,C2,LAW,
evidence,noun,Beweis,B2,PROOF,
evident,adjective,offensichtlich,B2,,
evidently,adverb,offensichtlich,B2,,
evil,noun,teuflisch,B2,,
evil,adjective,teuflisch,B2,,people: personality
evolution,noun,Evolution,B2,NATURAL WORLD,natural world
evolution,noun,Evolution,B2,GRADUAL CHANGE,
evolve,verb,evolve,C1,,
exact,adjective,genau,B1,,describing things
exactly,adverb,genau,A2,COMPLETELY CORRECT,describing things
exactly,adverb,genau,B1,EMPHASIS,communication
exactly,adverb,genau,B2,AGREEMENT,communication
exaggerate,verb,übertreiben,C1,,
exaggeration,noun,Übertreibung,C1,,
exam,noun,Prüfung,A2,,education
examination,noun,Prüfung,A2,TEST,education
examination,noun,Prüfung,B2,CAREFUL LOOK,body and health
examine,verb,prüfen,B2,LOOK AT,people: actions
examine,verb,prüfen,C2,TEST,
examiner,noun,Prüfer,B1,,education
example,noun,Beispiel,A1,TYPICAL CASE,
example,noun,Beispiel,B2,VERY GOOD,
exceed,verb,überschreiten,C1,BE MORE,
exceed sb's expectations,phrase,übertreffen die Erwartungen,C1,,
exceed the speed limit,phrase,die Geschwindigkeitsbegrenzung überschreiten,C1,,
excel,verb,übertreffen,C2,BE GOOD,
excellent,adjective,exzellent,A2,,describing things
excel yourself,phrase,Übertreffen Sie sich,C2,,
except,preposition,außer,A2,NOT INCLUDING,
exception,noun,Ausnahme,B2,NOT INCLUDED,
exceptional,adjective,außergewöhnlich,B2,GOOD,describing things
exceptional,adjective,außergewöhnlich,C2,UNUSUAL,
exceptionally,adverb,außergewöhnlich,C1,,
except that,phrase,außer dass,B1,,
excess,noun,Überschuss,C1,,
excess,adjective,Überschuss,C1,,
excessive,adjective,übertrieben,C1,,
exchange,noun,Austausch,B1,GIVING,people: actions
exchange,noun,Austausch,B1,STUDENTS,education
exchange,verb,Austausch,B1,GIVING,people: actions
exchange,verb,Austausch,B2,SHOP,"people: actions, shopping"
"exchange looks, opinions, views, etc.",phrase,"Blicke, Meinungen, Ansichten usw. austauschen.",B2,,communication
exchange rate,noun,Wechselkurs,B1,,money
excited,adjective,aufgeregt,A1,,people: personality
excitedly,adverb,aufgeregt,B1,,people: personality
excitement,noun,Aufregung,B1,,people: personality
exciting,adjective,spannend,A1,,people: personality
exclaim,verb,ausrufen,C2,,communication
exclamation mark,noun,Ausrufezeichen,B2,,communication
exclude,verb,ausschließen,C1,KEEP OUT,
exclude,verb,ausschließen,C1,NOT INCLUDE,
exclusive,adjective,exklusiv,B2,EXPENSIVE,
exclusive,adjective,exklusiv,C1,NOT SHARED,
exclusively,adverb,ausschließlich,C1,,
exclusive of sth,phrase,exklusive,C2,,
excuse,verb,Entschuldigung,B1,FORGIVE,communication
excuse,verb,Entschuldigung,B2,EXPLAIN,communication
excuse,noun,Entschuldigung,B1,REASON,communication
excuse,noun,Entschuldigung,B1,FALSE REASON,communication
Excuse me,phrase,Verzeihung,A1,ATTRACTING ATTENTION,communication
Excuse me,phrase,Verzeihung,A2,SAYING SORRY,communication
execute,verb,ausführen,C2,KILL,
execute,verb,ausführen,C2,DO,
executive,adjective,Exekutive,C1,,work
executive,noun,Exekutive,C1,,work
exemplify,verb,veranschaulichen,C2,,
exercise,noun,Übung,A2,PHYSICAL ACTIVITY,"body and health, people: actions, shopping"
exercise,noun,Übung,C2,MILITARY,
exercise,noun,Übung,A2,PRACTICE,education
exercise,verb,Übung,B1,PHYSICAL ACTIVITY,"body and health, people: actions, shopping"
exercise,verb,Übung,C2,USE,
exhaust,noun,Auspuff,C1,GAS,
exhaust,verb,Auspuff,C1,,
exhaust,noun,Auspuff,C1,PIPE,
exhausted,adjective,erschöpft,B1,,people: personality
exhausting,adjective,anstrengend,B2,,people: personality
exhaustion,noun,Erschöpfung,B2,,people: personality
exhaustive,adjective,erschöpfend,C1,,
exhibit,verb,ausstellen,C1,SHOW OBJECTS,
exhibit,verb,ausstellen,C2,SHOW FEELINGS,
exhibit,noun,ausstellen,C1,,
exhibition,noun,Ausstellung,B1,,arts and media
exile,noun,Exil,C2,,
exist,verb,existieren,B1,BE REAL,
exist,verb,existieren,C1,LIVE,
existence,noun,Existenz,B2,BEING,
existence,noun,Existenz,C1,LIFE,
existing,adjective,vorhanden,B2,,
exit,noun,Ausfahrt,A2,WAY OUT,buildings
exit,noun,Ausfahrt,A2,ROAD,travel
exit,verb,Ausfahrt,B1,,"people: actions, technology"
exotic,adjective,exotisch,B2,,
expand,verb,expandieren,B2,,
expansion,noun,Erweiterung,B2,,
expect,verb,erwarten,B1,THINK,
expect,verb,erwarten,B2,BEHAVE,
expectation,noun,Erwartung,B2,,people: personality
expected,adjective,erwartet,B2,,
expedition,noun,Expedition,B1,,travel
expenditure,noun,Ausgaben,C2,,money
expense,noun,Aufwand,B2,MONEY SPENT,money
expenses,noun,Kosten,C1,,money
expensive,adjective,teuer,A1,,"money, shopping"
experience,noun,Erfahrung,B1,KNOWLEDGE,people: personality
experience,noun,Erfahrung,B1,SOMETHING THAT HAPPENS TO YOU,people: personality
experience,verb,Erfahrung,B1,,people: personality
