Rank,Hebrew,English,Pronunciation
1146,בגיל,at an age / with joy,begil
1146,בגיל,at the age,bagil
1147,נוצר,is/was formed / is/was created (m.s.),notsar
1148,ההר,the mountain,hahar
1149,ובמיוחד,and especially,uvimyukhad
1150,המזרחי,the eastern (m.s.),hamizrakhi
1151,בספר,in a book,besefer
1151,בספר,in the book,basefer
1151,בספר,at the border,basfar
1152,בשפה,in the language / on the lip,basafa
1152,בשפה,in a language / on a lip,besafa
1153,במצעד,in a parade / in a march,bemits'ad
1153,במצעד,in the parade / in the march,bamits'ad
1154,מתארת,describe (f.s.),meta'eret
1155,תחרויות,competitions,takharuyot
1156,עיני,eyes of,einei
1156,עיני,my eyes,einai
1157,חושב,think (m.s.),khoshev
1158,ברגע,in an instance / at the moment [that],berega
1159,באה,coming / came (f.s.),ba'a
1159,באה,next (f.s.),ba'a
1160,לאכול,to eat,le'ekhol
1161,החורף,the winter,hakhoref
1162,מתאר,describes (m.s.),meta'er
1163,מספיק,enough,maspik
1164,סיום,end,siyum
1165,אבא,father,aba
1166,מצפון,from the north,mitsafon
1167,שינויים,changes,shinuim
1168,זרים,foreign / strangers (m.pl.),zarim
1169,הלבנה,the white (f.s.) / the moon,halevana
1170,הלאומי,the national (m.s.),hale'umi
1171,דמויות,shapes / figures / characters,dmuyot
1172,ביטוי,expression,bitui
1173,סדרת,series of,sidrat
1174,וו,hook,vav
1175,טנקים,tanks,tankim
1176,הבירה,the capital,habira
1176,הבירה,the beer,habira
1177,מועצת,council of,mo'etset
1178,שערים,gates,she'arim
1179,העליונה,the upper / the top / the utmost / the superior (f.s.),ha'elyona
1180,הפעילות,the activity,hape'ilut
1180,הפעילות,the active / the activists (f.pl.),hape'ilot
1181,אילו,which (pl.),elu
1181,אילו,if,ilu
1182,האיש,the person / the man / the husband,ha'ish
1183,אשתו,his wife,ishto
1184,דברים,words / what was/is said / things / items / matters,dvarim
1185,במרחק,at a distance,bemerkhak
1186,גרם,caused (m.s.),garam
1186,גרם,object,gerem
1186,גרם,gram,gram
1187,הפנים,the face,hapanim
1187,הפנים,the inside / the interior,hapnim
1187,הפנים,internalized (m.s.),hifnim
1188,הבאים,next / the person who is coming (m.pl.),haba'im
1189,לתיאור,for a description,lete'ur
1189,לתיאור,for the description,late'ur
1190,לשנות,to change,leshanot
1191,אב,father,av
1192,כלשהו,any / of any kind (m.s.),kolshehu
1193,כבד,heavy (m.s.) / liver,kaved
1194,המורדים,the rebels,hamordim
1195,התנגדות,resistance / objection,hitnagdut
1196,בשימוש,in use,beshimush
1196,בשימוש,in the use,bashimush
1197,החזה,the chest / the breast,hakhaze
1198,תאים,cells,ta'im
1199,אמרו,said (pl.),amru
1200,קטנות,small / little (f.pl.),ktanot
1201,תת,hypo- / sub- / infra-,tat
1202,לתאר,to describe,leta'er
1203,מראש,in advance,merosh
1204,לאי,to the island,la'i
1204,לאי,to an island,le'i
1205,שיר,song / poem,shir
1206,המינים,the kinds / the species / the genders,haminim
1207,בראשית,in the beginning / Genesis,bereshit
1208,נפילת,fall of,nefilat
1209,כהגיית,as the pronunciation of,kehagiyat
1210,כאילו,as if / like,ke'ilu
1211,כמתואר,as described,kamto'ar
1212,לבוא,to come,lavo
1213,להילחם,to fight,lehilakhem
1214,פשוט,simple (m.s.),pashut
1215,מוצא,finds (m.s.),motse
1216,אמת,truth,emet
1217,לחם,bread,lekhem
1217,לחם,fought (m.s.),lakham
1218,שירה,singing / poetry,shira
1219,קווי,lines of,kavei
1220,בחזית,at the front,bakhazit
1221,נבנו,were built,nivnu
1222,לאזור,to the area,la'ezor
1222,לאזור,to an area,le'ezor
1223,עובדה,fact,uvda
1224,מחקר,research / study,mekhkar
1225,אמנות,art,omanut
1225,אמנות,treaties / conventions,amanot
1226,אלים,gods,elim
1227,הוקם,was established / was made to stand (m.s.),hukam
1228,אפוא,then / consequently,efo
1229,לאט,slowly,le'at
1230,רגע,moment,rega
1231,שיח,bush / talk,si'akh
1232,מהר,fast / quickly,maher
1233,לעבור,to pass / to cross / to go through,la'avor
1234,עולים,rising / increasing / climbing / immigrants (m.pl.),olim
1235,הניצחון,the victory,hanitsakhon
1236,חומר,material,khomer
1237,המאבק,the struggle,hama'avak
1238,משפחת,the [name] family,mishpakhat
1239,גורן,barn,goren
1240,התיאור,the description,hate'ur
1241,הביצים,the eggs,habeytsim
1242,אופן,mode / manner / way,ofen
1242,אופן,wheel,ofan
1243,עשה,did (m.s.),asa
1244,עלו,went up / climbed / increased / immigrated (pl.),alu
1245,התואר,the title / the degree / the adjective / the appearance / the shape,hato'ar
1246,המשטרה,the police,hamishtara
1247,הכחול,the blue (m.s.),hakakhol
1248,רגל,leg,regel
1249,מעלה,up,ma'ala
1249,מעלה,raises / uploads (f.s.) / merit / virtue,ma'ala
1249,מעלה,raises / uploads (m.s.),ma'ale
1250,מגיע,arrive / deserved (m.s.),megi'a
1251,מצוי,is [at] / common / available (m.s.),matsui
1252,הבלתי,"the in-, the un-, the dis-",habilti
1253,טבעי,natural (m.s.),tiv'i
1254,רשת,net,reshet
1255,לגלות,to discover,legalot
1256,אופי,character / nature,ofi
1257,להתמודד,to deal with / to confront,lehitmoded
1258,חלקי,my share / partial,khelki
1259,היסטורי,historical (m.s.),histori
1260,נהגו,drove / used to (pl.),nahagu
1261,גילוי,discovery,gilui
1262,הכנסייה,the church,haknesiya
1263,סרטים,movies,sratim
1264,שירים,songs / poems,shirim
1265,היצירה,the formation / the creation / the making / the work of art / the composition,hayetsira
1266,מוזיאון,museum,muze'on
1267,חמצני,oxygenic,khamtsani
1268,ממני,from me,mimeni
1269,תפוח,apple,tapu'akh
1269,תפוח,tumid (m.s.),tafu'akh
1270,שאת,that the,she'et
1270,שאת,that you (f.s.),she'at
1271,בתור,in line,bator
1271,בתור,as,betor
1272,חזק,strong (m.s.) / be strong,khazak
1273,יחיד,only / single / individual,yakhid
1274,במקרים,in cases,bemikrim
1275,לאפשר,to enable / to facilitate,le'afsher
1276,מגן,defender / shield,magen
1277,יצירתו,his formation / his creation / his artistic work / his composition of,yetsirato
1278,עיר,city,ir
1279,סימן,sign,siman
1280,מדיניות,policy,mediniyut
1281,תואר,title / degree / adjective / appearance / shape,to'ar
1281,תואר,was described (m.s.),to'ar
1282,רימון,pomegranate / grenade,rimon
1283,פיסול,sculpture,pisul
1284,המתארת,that/who describes (f.s.),hameta'eret
1285,בי,in me,bi
1286,רע,bad,ra
1287,הודיע,informed / announced (m.s.),hodi'a
1288,העת,the period / age,ha'et
1289,הלכה,walked / went (f.s.),halkha
1289,הלכה,Halachah (the Jewish law),halakha
1290,עלתה,went up / climbed / increased / immigrated (f.s.),alta
1291,זכר,memory,zekher
1291,זכר,remembered (m.s.) / male,zakhar
1292,קולות,voices / sounds,kolot
1293,ארוכה,long (f.s.),aruka
1294,האחרונים,the last (m.pl.),ha'akhronim
1295,לטובת,for / in favor of / for the sake of,letovat
1296,הזו,this (f.),hazo
1296,הזו,hallucinated (pl.),hazu
1297,המתארים,that/who describe (m.pl.),hameta'arim
1298,הגדולות,the big / the large (f.pl.),hagdolot
1299,אפשרות,possibility,efsharut
1300,חבר,friend / member (m.s.),khaver
1301,גן,garden / kindergarten,gan
1301,גן,gene,gen
1302,קילומטרים,kilometers,kilometrim
1303,הוביל,led / transported (m.s.),hovil
1304,בעצמו,Himself / personally (m.s.),be'atsmo
1305,בדבר,regarding / in the thing,badavar
1305,בדבר,in a thing,bedavar
1305,בדבר,regarding / in respect to,bidvar
1306,המתאר,that/who describes (m.s.),hameta'er
1307,שש,six,shesh
1307,שש,glad (m.s.),sas
1308,נשיא,president,nasi
1309,תרבות,civilization / culture,tarbut
1310,רבי,rabbi / my rabbi / my teacher,rabi
1311,עשוי,might / made (m.s.),asui
1312,המערכה,the battle / the campaign / the act,hama'arakha
1313,הגבול,the border / the limit,hagvul
1314,להגן,to defend,lehagen
1315,מונה,count (m.s.) / gauge / numerator,mone
1315,מונה,count (f.s.),mona
1315,מונה,was appointed (m.s.),muna
1316,הידוע,the known (m.s.),hayadu'a
1317,להלן,as follows / below,lehalan
1318,ליהודים,to/for the Jews,layehudim
1319,בדיקות,examinations / tests,bdikot
1320,הפארק,the park,hapark
1321,ישב,sat (m.s.),yashav
1322,בתיאור,in a description,bete'ur
1322,בתיאור,in the description,bate'ur
1323,וזה,and this (m.),veze
1324,רצה,wanted (m.s.),ratsa
1324,רצה,ran (f.s.),ratsa
1325,כבוד,honor / glory / respect / dignity,kavod
1326,לומר,to say,lomar
1327,איננו,is not / is not here (m.s.),eineno
1328,לעלות,to rise / to go up / to immigrate,la'alot
1329,ביקש,asked / looked for / wished (m.s.),bikesh
1330,מלאה,full (f.s.),mele'a
1331,משנה,changes (m.s.) / matters,meshane
1332,ראשית,beginning,reshit
1333,להפוך,to invert / to convert / to turn / to become / to transform,lahafokh
1334,תחילה,beginning / first,tkhila
1335,סדר,order / Passover 'seder',seder
1336,בבתי,in [the] houses of / at the homes of,bevatei
1337,מטעם,on behalf of,mita'am
1338,היות,since / given that / being,heyot
1339,הכולל,that includes (m.s.),hakolel
1340,השריון,the armor,hashiryon
1341,הרפובליקה,the republic,harepublika
1342,מבצע,operation / sale,mivtsa
1343,ומתן,and giving,umatan
1343,ומתן,negotiation,[masa] umatan
1344,במים,in water,bemayim
1344,במים,in the water,bamayim
1345,נערך,prepared / made arrangements / was held / was edited (m.s.),ne'erakh
1346,הפירמידה,the pyramid,hapiramida
1347,שדרות,boulevard,sderot
1348,ענתה,answered (f.s.),anta
1349,החוצה,[to] outside,hakhutsa
1350,אומר,says / saying (m.s.),omer
1351,הקיץ,the summer,hakayits
1352,עצי,trees of,atsei
1353,אחדות,unity,akhdut
1353,אחדות,units / some (f.p.),akhadot
1354,ואין,and there is no,ve'ein
1355,ואם,and if,ve'im
1355,ואם,and a mother,ve'em
1356,לשעבר,former / ex,leshe'avar
1357,ישנה,there is (f.s.),yeshna
1358,והיו,and were,vehayu
1359,כשהוא,when he,keshehu
1360,כף,spoon / palm,kaf
1361,ויש,and there is / and one must,veyesh
1362,פנה,turned (m.s.),pana
1363,חסרי,lacking (m.pl.),khasrei
1364,רשמי,official (m.s.),rishmi
1365,להקמת,for the establishment of / for the building of,lehakamat
1366,פעל,acted / operated (m.s.),pa'al
1367,בתהליך,in process,betahalikh
1367,בתהליך,in the process,batahalikh
1368,רובם,most of them (m.),rubam
1369,היוו,were / constituted (pl.),hivu
1370,סמל,symbol,semel
1370,סמל,sergeant,samal
1371,קיימות,exist (f.pl.),kayamot
1372,הפרק,the chapter / the period / the joint,haperek
1373,בתואר,[in] a title / [in] a degree / [in] an adjective / [in] an appearance / [in] a shape,beto'ar
1373,בתואר,[in] the title / [in] the degree / [in] the adjective / [in] the appearance / [in] the shape,bato'ar
1374,אורניום,uranium,oranium
1375,ללכת,to walk / to go,lalekhet
1376,הענפים,the branches / the fields,ha'anafim
1377,חוץ,out,khuts
1378,דעת,mind / knowledge / wisdom,da'at
1379,נשאר,Stayed / remained / was left (m.s.),nish'ar
1380,הבתים,the houses / the homes,habatim
1381,מעשה,deed / story / tale,ma'ase
1382,לחזור,to return / to repeat,lakhzor
1383,שב,returned (m.s.),shav
1383,שב,sit (m.s. imperative),shev
1383,שב,old person,sav
1384,להשיג,to achieve / to criticize,lehasig
1385,ארוך,long (m.s.),arokh
1386,הרעיון,the idea,hara'ayon
1387,הגידול,the growth / the increase / the tumor,hagidul
1388,בים,in the sea,bayam
1388,בים,in a sea / in the sea of,beyam
1389,ברזל,iron,barzel
1390,נותר,was left (m.s.),notar
1391,שפה,language / lip,safa
1392,ההתקפה,the attack,hahatkafa
1393,הכיבוש,the occupation,hakibush
1394,חלקם,their share / some of them,khelkam
1394,חלקם,for the formation of / for the creation of / for the artistic work of / to/for the composition,
1395,ליצירת,liytsirat,
1395,ליצירת,of,
1396,שיטה,method,shita
1397,דמותו,his image / his figure / his shape / his character,dmuto
1398,בקול,[with] a voice / [with] a sound / loudly,bekol
1399,השיב,replied / returned [something] (m.s.),heshiv
1400,העניין,the matter / the interest,ha'inyan
1401,הרחוב,the street,harekhov
1402,עמוק,deep (m.s.),amok
1403,הדברים,the words / what was said / the things / the items / the matters,hadvarim
1404,בימים,on [days] / in days,beyamim
1405,החדשים,the new (m.pl.),hakhadashim
1406,מילה,word / circumcision,mila
1407,מחנה,camp / group,makhane
1408,אדמת,rubella,ademet
1408,אדמת,the land of / soil of [type],admat
1409,המספר,the number,hamispar
1409,המספר,the narrator / the story teller,hamesaper
1410,שגם,that also,shegam
1411,השיח,the talk / the conversation / the bush,hasi'akh
1411,השיח,talked / conversed (m.s.),hesi'akh
1412,הטיפול,the treatment,hatipul
1413,בגין,because of,begin
1414,לחלק,to divide,lekhalek
1414,לחלק,to part / to/for some,lekhelek
1415,החשובים,the important (m.pl.),hakhashuvim
1416,לחימה,warfare / fighting,lekhima
1417,להעביר,to pass / to transfer,leha'avir
1418,המטבח,the kitchen,hamitbakh
1419,הוחלט,has been decided,hukhlat
1420,החי,the living,hakhai
1421,הכללי,the general (m.s.),haklali
1422,נקרא,is read / is called / was read / was called (m.s.) / we will read / we will call,nikra
1423,לכבוש,to occupy,likhbosh
1424,האויב,the enemy,ha'oyev
1425,הצלב,the cross,hatslav
1426,משמעותי,significant (m.s.),mashma'uti
1427,התפתחות,development,hitpatkhut
1428,האצולה,the aristocracy,ha'atsula
1429,בתרבות,in a civilization / in a culture,betarbut
1429,בתרבות,in the civilization / in the culture,batarbut
1430,מקובל,accepted / conventional (m.s.),mekubal
1431,אלקטרונים,electrons,elektronim
1432,למטה,downward / down,lemata
1432,למטה,to/for the headquarters / to/for the stick,lamate
1432,למטה,to bed,lamita
1433,ואמר,and said (m.s.),ve'amar
1434,להן,to them (f.),lahen
1435,היבשה,the land,hayabasha
1436,בלילה,in the night / at night,balaila
1437,סיפר,told,siper
1438,לעבר,to/for the past,la'avar
1439,צורה,shape / form / manner,tsura
1440,הגורמים,the factors / the causes,hagormim
1441,להמשיך,to continue,lehamshikh
1442,שדה,field,sade
1443,הרגלים,habits,hergelim
1443,הרגלים,the pilgrim festivals,haregalim
1444,הסכם,agreement / contract,heskem
1445,בעניין,on the matter of / with interest,be'inyan
1445,בעניין,on the matter,ba'inyan
1446,טענו,claimed / argued (pl.),ta'anu
1447,לקרא,to read / to call,likro
1448,מעלות,advantages / virtues / stairs,ma'alot
1449,מרד,rebellion,mered
1449,מרד,rebelled (m.s.),marad
1450,לחץ,pressure,lakhats
1450,לחץ,pressed (m.s.),lakhats
1451,רשמית,official (f.s.) / officially,rishmit
1452,הצבאית,the military (f.s.),hatsva'it
1453,מנהיגי,the leaders of,manhigei
1454,הוקמה,was established,hukma
1455,תום,completion / perfection / wholeness / innocence / purity,tom
1456,לכנסת,to the Knesset,lakneset
1457,הנגיף,the virus,hanagif
1458,שיהיה,that will be (m.s.),sheyihye
1459,באו,came (pl.),ba'u
1460,לעצמו,for himself,le'atsmo
1461,ברחובות,on the streets,barekhovot
1461,ברחובות,on streets,berekhovot
1462,צעד,step,tsa'ad
1463,אישה,woman / wife,isha
1464,נשא,carried / married (m.s.),nasa
1465,דקות,minutes / thin (f.pl.),dakot
1466,פרס,award / prize,pras
1467,חום,heat,khom
1467,חום,brown,khum
1468,בליגה,in a league,beliga
1468,בליגה,in the league,baliga
1469,הצליחה,succeeded (f.s.),hetslikha
1470,דרכו,his way / through him/it,darko
1471,ספרי,my book,sifri
1471,ספרי,my books,sfarai
1472,המקור,the source / the beak,hamakor
1473,השתמשו,used (pl.),hishtamshu
1474,הגבוהה,the high / the tall (f.s.),hagavoha
1475,המילה,the word / the circumcision,hamila
1476,הבאות,the next / the person who is coming (f.pl.),haba'ot
1477,הבסיס,the basis / the base,habasis
1478,הפלישה,the invasion,haplisha
1479,התרבות,the civilization / the culture,hatarbut
1480,שלב,stage / phase / rung,shalav
1481,היחס,the relation / the ratio / the attitude,hayakhas
1482,המפעל,the plant / the factory,hamif'al
1483,עברית,Hebrew,ivrit
1484,ירייה,shot,yeriya
1485,ביצים,eggs,beytsim
1486,צריכה,need (f.s.) / consumption (of goods),tsrikha
1487,ביחד,together,beyakhad
1488,צעיר,young (m.s.),tsa'ir
1489,בחיים,alive / in life,bakhayim
1490,ענף,branch / field,anaf
1491,הצטרף,joined (m.s.),hitstaref
1492,מאיר,illuminates (m.s.),me'ir
1493,לפיכך,therefore,lefikhakh
1494,ספרים,books,sfarim
1495,נוסעים,passengers / travelers / drive / travel (m.pl.),nos'im
1496,תחרות,competition,takharut
1497,ספינות,ships,sfinot
1498,שיתוף,cooperation / collaboration,shituf
1499,רחב,wide,rakhav
1500,לשנת,for the year [X] / for the year of / for the sleep of,lishnat
1501,אירוע,event,eru'a
1502,הוקמו,were established / were built (m.pl.),hukmu
1503,עולי,immigrants of,olei
1504,הוועד,the committee / the board,hava'ad
1505,המתים,the dead (m.pl.),hametim
1506,רואים,see (m.pl.),ro'im
1507,משפחתו,his family,mishpakhto
1508,לפגוע,to hit / to damage / to offend,lifgo'a
1509,הקשה,the difficult / the hard (m.s.),hakashe
1509,הקשה,the difficult / the hard (f.s.),hakasha
1510,בעונה,in a season,be'ona
1510,בעונה,in season,ba'ona
1511,הסביבה,the area,hasviva
1512,כנסת,Knesset (the Israeli parliament),kneset
1513,נאלץ,was forced / was compelled (m.s.),ne'elats
1514,משמעותית,significant (f.s.) / in significance,mashma'utit
1515,יחידת,unit of / squad of,yekhidat
1516,תור,line / turn,tor
1517,אודות,about,odot
1518,הופיע,appeared / performed (m.s.),hofi'a
1519,בפארק,in a park,bepark
1519,בפארק,in the park,bapark
1520,ניסיונות,trials / attempts,nisyonot
1521,נקודת,point of,nekudat
1522,ריכוז,concentration,rikuz
1523,בתולדות,in the history of,betoldot
1524,כחלק,as part,kekhelek
1525,ברמה,at the height / at the level,barama
1525,ברמה,at a level,berama
1526,שנתיים,two years,shnatayim
1527,הביולוגיה,the biology,habiologia
1528,פחמן,carbon,pakhman
1529,הוסיף,added (m.s.),hosif
1530,הילדים,the children,hayladim
1531,בבוקר,in the morning,baboker
1532,המשפחה,the family,hamishpakha
1533,המשיכה,the pull / the attraction / the withdrawal / gravity,hameshikha
1533,המשיכה,continued (f.s.),hemshikha
1534,חומות,walls,khomot
1535,אחיו,his brother,akhiv
1536,דמות,image / figure / shape / character,dmut
1537,צמחים,plants,tsmakhim
1538,אש,fire,esh
1539,מנהיג,leader,manhig
1540,כאמור,as aforesaid,ka'amur
1541,פגיעה,hit / impact / damage / offense,pgi'a
1542,הפוליטי,the political (m.s.),hapoliti
1543,נמוכה,low / short (f.s.),nemukha
1544,המשטר,the regime,hamishtar
1545,בנייה,construction,bniya
1546,המהפכה,the revolution,hamahapekha
1547,תנועות,motions / movements,tnu'ot
1548,האתר,the site,ha'atar
1549,המקרא,the Bible / the legend,hamikra
1550,הפטרוסלינון,the parsley,hapetrosilnon
1551,הדלת,the door,hadelet
1552,המלכה,the queen,hamalka
1553,יוצא,going out / coming out / goes out / comes out (m.s.),yotse
1554,עלים,leaves,alim
1555,גשם,rain,geshem
1556,איננה,is not / is not here (f.s.),einena
1557,הברזל,the iron,habarzel
1558,בהרבה,in much / in many,beharbe
1559,טרם,before,terem
1560,השחקנים,the players / the actors,hasakhkanim
1561,הציג,introduced / displayed / presented / exhibited (m.s.),hetsig
1562,האסלאם,the Islam,ha'islam
1563,דומים,similar / resembling (m.pl.),domim
1564,בפיקודו,under his command,befikudo
1565,במבצע,in an operation / on sale,bemivtsa
1566,דת,religion,dat
1567,בפועל,actually,bafo'al
1568,התא,the cell,hata
1569,גידול,growth / increase / tumor,gidul
1570,באוניברסיטת,at the university of,be'universitat
1571,העלילה,the plot / the deed / the libel / the false charge,ha'alila
1572,כזאת,like this (f.),kazot
1573,השחורה,the black (f.s.),hashkhora
1574,ילד,child (m.) / boy,yeled
1575,חייב,must / owes / debtor(m.s.),khayav
1575,חייב,forced / obligated / charged (m.s.),khiyev
1576,משפחה,family,mishpakha
1577,נמשך,continues / continued / lasted / was pulled / was attracted / was withdrawn (m.s.),nimshakh
1578,עסק,dealt / engaged / worked (m.s.),asak
1579,חבלה,sabotage / bruising,khabala
1580,הגבוה,the high / the tall (m.s.),hagvoha
1581,תולדות,history,toldot
1582,אירועים,events,eru'im
1583,האור,the light (m.s.),ha'or
1584,חופש,freedom,khofesh
1585,הידע,the knowledge,hayeda
1586,בהדרגה,gradually,behadraga
1587,ממוצא,from an origin,mimotsa
1588,כללו,included (pl.),kalelu
1589,בכוח,forcefully,beko'akh
1590,מתקופת,from the period of / from the era of,mitkufat
1591,שימשו,were used for (pl.),shimshu
1592,גישה,attitude / access / approach,gisha
1593,בקרבת,close to,bekirvat
1594,מסוימות,specific (f.pl.),mesuyamot
1595,ניכרת,obvious / evident (f.s.),nikeret
1596,המקורי,the original (m.s.),hamekori
1597,סרט,movie / ribbon / strip,seret
1598,מאפיינים,characteristics,me'afyenim
1599,ללמוד,to learn / to study,lilmod
1600,עבודתו,his work,avodato
1601,פועלים,workers / operate (m.pl.),po'alim
1602,מולקולות,molecules,molekulot
1603,בודאי,certainly,bevadai
1604,האלון,the oak,ha'alon
1605,למות,to die,lamut
1606,גבעת,hill of,giv'at
1607,מדוע,why,madu'a
1608,הנשים,the women,hanashim
1609,חיות,living / alive (f.pl.) / animals,khayot
1609,חיות,vitality,khayut
1610,כעבור,after [time period],ka'avor
1611,שחור,black,shakhor
1612,חסר,lacking (m.s.),khasar
1613,ממשלה,government,memshala
1614,האמינו,believed (pl.),he'eminu
1615,מכונה,machine,mekhona
1615,מכונה,called,mekhune
1616,לעיל,aforementioned,le'el
1617,כאחד,as one,ke'ekhad
1618,היחידות,the units / the squads / the only / the single (f.pl.),hayekhidot
1619,השפעות,effects / influences,hashpa'ot
1620,הראשית,the main (f.s.),harashit
1621,בנות,girls / daughters,banot
1621,בנות,the girls of / the daughters of,bnot
1622,בברית,pact / alliance / covenant / circumcision,bivrit
1623,חיילי,soldiers of,khayalei
1624,הצלחה,success,hatslakha
1625,טוען,claim / argue / charge / load (m.s.),to'en
1626,נפשי,my soul / my spirit / my life,nafeshi
1627,נקבה,female,nekeva
1627,נקבה,tunnel,nikba
1628,בערב,in the evening,ba'erev
1629,שזה,that this (m.),sheze
1630,רעיון,idea,ra'ayon
1631,המועצה,the council,hamo'etsa
1632,יוכל,will be able (m.s.),yukhal
1633,משטר,regime / reign,mishtar
1634,הליגה,the league,haliga
1635,האדום,the red,ha'adom
1636,במדינה,in a state,bemedina
1636,במדינה,in the state,bamedina
1637,באשר,regarding / wherever (biblical),ba'asher
1638,אחוז,percent / percentage / is held (m.s.),akhuz
1638,אחוז,hold (m.s. Imperative),ekhoz
1639,ביצע,performed / executed (m.s.),bitsa
1640,בגטו,in a ghetto,begeto
1640,בגטו,in the ghetto,bageto
1641,מנחם,comforting / comforts (m.s.),menakhem
1642,חיידקים,bacteria,khaydakim
1643,לשוב,to return,lashuv
1644,נפל,fell (m.s.),nafal
1645,היד,the hand,hayad
1646,פורסם,was published / was advertised (m.s.),pursam
1647,שיעור,lesson,shi'ur
1648,הטובים,the good (m.pl.),hatovim
1649,ראוי,worthy of / suitable / deserving / eligible / appropriate (m.s.),ra'ui
1650,מוות,death,mavet
1651,לקח,took (m.s.),lakakh
1652,נעשו,were done / became (pl.),na'asu
1653,גל,wave,gal
1654,נאלצו,were forced / were compelled,ne'eltsu
1655,סירב,refused (m.s.),serav
1656,מצויים,are [at] / common / available (m.pl.),metsuyim
1657,לוח,board,lu'akh
1658,לפרוץ,to break into / to breach,lifrots
1659,לבעל,to an owner of / to a husband,leva'al
1659,לבעל,to the husband,laba'al
1660,נכתב,was written (m.s.),nikhtav
1661,המברק,the telegram,hamivrak
1662,שלטונו,his rule / his reign,shiltono
1663,בשבי,in captivity,beshevi
1663,בשבי,in [the] captivity / in [the] prison,bashevi
1663,בשבי,in captivity of,bishvi
1664,אזורים,areas / regions / zones,azorim
1665,ימינו,his right,yemino
1665,ימינו,our days,yameinu
1666,עליית,rise of / increase of / immigration of,aliyat
1667,בסרט,in a movie / with a ribbon/strip,beseret
1667,בסרט,in the movie / with the ribbon/strip,baseret
1668,עדויות,evidence (pl.) / testimonies,eduyot
1669,בעיות,problems,be'ayot
1670,חוזר,returns (m.s.) / repeats (m.s.) / returning / repeating / circular,khozer
1671,סוגים,kinds / classes / types,sugim
1672,יהודית,Jewish (f.s.),yehudit
1673,אווירניים,aerobic (m.pl.),aviraniyim
1674,תודה,thanks / gratitude,toda
1675,לכם,to you / for you (m.pl.),lakhem
1676,בעד,in favor of,be'ad
1677,שקט,silence,sheket
1677,שקט,quiet / silent (m.s.),shaket
1677,שקט,calmed down / became quiet (m.s.),shakat
1678,להישאר,to stay / to remain,lehisha'er
1679,להבין,to understand,lehavin
1680,המצוי,that is [at] / common / available (f.s.),metsuya
1681,מצא,found (m.s.),matsa
1682,לאל,to a god,le'el
1682,לאל,to the god,la'el
1682,לאל,[to set at] nought,le'al
1683,חדר,room,kheder
1683,חדר,penetrated / intruded (m.s.),khadar
1684,משפט,sentence / trial,mishpat
1685,חברים,friends / members (m.),khaverim
1686,החוץ,the outside,hakhuts
1687,הלבן,the white (m.s.),halavan
1688,התרופות,the medications / the drugs,hatrufot
1689,מורכב,complex / composed of (m.s.),murkav
1690,הגישה,the attitude / the access / the approach,hagisha
1691,במערכת,in a system / in an editorial board,bema'arekhet
1691,במערכת,in the system / in the editorial board,bama'arekhet
1692,סרטן,cancer (disease) / crab,sartan
1693,היחסים,the relations,hayakhasim
1694,ציוד,equipment,tsiyud
1695,חומרי,materials of,khomrei
1696,כפר,village,kfar
1697,היכל,palace / temple,heykhal
1698,בעונת,in the season of,be'onat
1699,משנות,from the years of,mishnot
1700,האלקטרונים,the electrons,ha'elektronim
1701,האנזים,the enzyme,ha'enzim
1702,עמדתי,my position,emdati
1702,עמדתי,I stood / I was going to / I succeeded,amadeti
1703,לבקש,to ask / to request,levakesh
1704,אחריו,after him,akharav
1705,שאפשר,that [it is] possible (adv.),she'efshar
1705,שאפשר,that enabled / that facilitated (m.s.),she'ifsher
1706,לשאת,to carry / to marry,laset
1707,להציג,to introduce / to display / to present / to exhibit,lehatsig
1708,שנערך,who prepared / who made arrangements / that was held / that was edited (m.s.),shene'erakh
1709,קשים,difficult / hard (m.pl.),kashim
1710,הלחם,fight (m.s. imperative),hilakhem
1711,החומר,the material,hakhomer
1712,הכללית,the general (m.pl.),haklalit
1713,בכפר,in a village,bekfar
1713,בכפר,in the village,bakfar
1714,בסגנון,[in] a style of / [in] a manner of,besignon
1715,ניצחון,victory,nitsakhon
1716,תמורת,in return for / in exchange for // change of / transformation of,tmurat
1717,ולבסוף,and finally / and eventually,ulvasof
1718,פעלו,acted / operated (pl.),pa'alu
1719,ענק,giant (m.s.) / necklace,anak
1720,יין,wine,yayin
1721,לכוחות,to powers / to forces / to strengths,lekokhot
1721,לכוחות,to the powers / to the forces / to the strengths,lakokhot
1722,תורה,Torah / theory / her turn,tora
1723,אמנים,artists,omanim
1724,חברה,friend / member (f.s.),khavera
1724,חברה,company / society,khevra
1725,הדרומית,the southern (f.s.),hadromit
1726,באתר,on a site,be'atar
1726,באתר,at the site,ba'atar
1727,בהר,[on] a mountain,behar
1727,בהר,[on] the mountain,bahar
1728,הנהר,the river,hanahar
1729,לקרב,to bring close,lekarev
1729,לקרב,to the battle,lakrav
1730,ציור,painting / drawing,tsiyur
1731,הערים,the cities,ha'arim
1732,בהיסטוריה,in history,bahistoria
1733,עשויים,might / made (m.pl.),asuyim
1734,חוזה,contract / prophet,khoze
1735,בפעילות,in activity,bif'ilut
1736,נקבע,was determined / was fixed / was set (m.s.),nikba
1737,תופעה,phenomenon,tofa'a
